Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
L,1.86499,16.4781,-4.25155,-3.51762, ,0.287421,0.347373,0.68336,0.732473,1.91027,16.254,-3.21219,-3.94216
R,1.5356,16.1272,-4.09277,-3.57871,1.481748,0.287115,0.346564,0.684813,0.731262,1.75112,16.0557,-3.15656,-3.99261
L,1.5356,16.1272,-4.09277,-3.57871, ,0.28645,0.346244,0.686624,0.730202,1.59474,15.8549,-3.10129,-4.04132
R,1.30564,15.6947,-3.77514,-4.06902,1.499492,0.285915,0.345423,0.686832,0.728446,1.44111,15.6517,-3.04644,-4.08832
L,1.30564,15.6947,-3.77514,-4.06902, ,0.285232,0.345024,0.687325,0.726715,1.29021,15.4463,-2.99207,-4.13364
R,0.896613,15.3117,-3.83521,-4.04764,1.510160,0.285056,0.344239,0.688474,0.725038,1.14201,15.2386,-2.93825,-4.1773
L,0.896613,15.3117,-3.83521,-4.04764, ,0.284463,0.343974,0.689949,0.723414,0.996486,15.0288,-2.88503,-4.21933
R,0.672133,14.9421,-3.56632,-3.92423,1.536390,0.284065,0.34327,0.690162,0.722074,0.853604,14.8169,-2.83246,-4.25977
L,0.672133,14.9421,-3.56632,-3.92423, ,0.283411,0.343251,0.690642,0.720833,0.71333,14.603,-2.78061,-4.29864
R,0.466176,14.481,-3.27325,-4.34606,1.549115,0.282847,0.342508,0.690028,0.719148,0.575628,14.3872,-2.72952,-4.33598
L,0.466176,14.481,-3.27325,-4.34606, ,0.282194,0.342369,0.689612,0.717475,0.440459,14.1696,-2.67925,-4.37181
R,0.0953813,13.9989,-3.32967,-4.76075,1.560911,0.281911,0.341592,0.68966,0.716219,0.307779,13.9502,-2.62984,-4.40617
L,0.0953813,13.9989,-3.32967,-4.76075, ,0.281316,0.341296,0.689942,0.7149,0.177545,13.7292,-2.58135,-4.43909
R,-0.12846,13.5196,-3.11765,-4.90664,1.588364,0.280929,0.340513,0.689493,0.71387,0.0497099,13.5065,-2.53381,-4.47061
L,-0.12846,13.5196,-3.11765,-4.90664, ,0.28031,0.340113,0.689234,0.712766,-0.0757753,13.2823,-2.48728,-4.50075
R,-0.392052,13.0622,-3.04925,-4.67723,1.604572,0.279975,0.339339,0.688884,0.711214,-0.198962,13.0566,-2.44179,-4.52955
L,-0.392052,13.0622,-3.04925,-4.67723, ,0.279383,0.338932,0.688721,0.709649,-0.319903,12.8295,-2.39739,-4.55704
R,-0.70407,12.5823,-3.07123,-4.58753,1.626080,0.279321,0.338171,0.688852,0.708049,-0.438654,12.6011,-2.35412,-4.58326
L,-0.70407,12.5823,-3.07123,-4.58753, ,0.278872,0.337707,0.689183,0.706461,-0.555273,12.3714,-2.31202,-4.60823
R,-0.98256,12.1558,-3.01046,-4.62341,1.654011,0.279033,0.336954,0.689415,0.704883,-0.669818,12.1404,-2.27111,-4.63198
L,-0.98256,12.1558,-3.01046,-4.62341, ,0.278732,0.336609,0.689839,0.703318,-0.78235,11.9083,-2.23144,-4.65456
R,-1.27199,11.6791,-2.96896,-4.7381,1.680130,0.279255,0.335863,0.690244,0.701772,-0.892931,11.6751,-2.19304,-4.67598
L,-1.27199,11.6791,-2.96896,-4.7381, ,0.279216,0.335496,0.690833,0.70023,-1.00163,11.4409,-2.15594,-4.69628
R,-1.33962,11.2212,-2.5395,-4.5302,1.709905,0.279024,0.334761,0.689875,0.698801,-1.1085,11.2057,-2.12017,-4.71549
L,-1.33962,11.2212,-2.5395,-4.5302, ,0.278538,0.334443,0.68902,0.697403,-1.21362,10.9695,-2.08575,-4.73364
R,-1.46316,10.7601,-2.20765,-4.84891,1.717719,0.278099,0.33372,0.687596,0.695915,-1.31706,10.7324,-2.05273,-4.75075
L,-1.46316,10.7601,-2.20765,-4.84891, ,0.277512,0.333455,0.686216,0.694428,-1.41889,10.4945,-2.02111,-4.76686
R,-1.65483,10.2359,-2.11078,-5.04842,1.733236,0.277056,0.332738,0.684781,0.693151,-1.51917,10.2559,-1.99093,-4.78198
L,-1.65483,10.2359,-2.11078,-5.04842, ,0.276471,0.332334,0.683379,0.691859,-1.61797,10.0165,-1.96221,-4.79615
R,-1.76082,9.7845,-1.91994,-4.83768,1.760244,0.275896,0.331624,0.681918,0.690381,-1.71539,9.77637,-1.93498,-4.80939
L,-1.76082,9.7845,-1.91994,-4.83768, ,0.275328,0.331315,0.680466,0.688912,-1.81147,9.53564,-1.90924,-4.82172
R,-2.05597,9.27119,-2.09763,-5.08077,1.777754,0.274917,0.330616,0.679164,0.68764,-1.90631,9.29431,-1.88502,-4.83316
L,-2.05597,9.27119,-2.09763,-5.08077, ,0.27436,0.330224,0.677902,0.68636,-1.99998,9.05243,-1.86233,-4.84374
R,-2.13758,8.83786,-1.85036,-4.83928,1.823809,0.273799,0.329534,0.676476,0.684917,-2.09256,8.81003,-1.8412,-4.85347
L,-2.13758,8.83786,-1.85036,-4.83928, ,0.273242,0.32931,0.675062,0.683485,-2.18412,8.56717,-1.82164,-4.86238
R,-2.45851,8.29839,-2.12622,-5.05395,1.841974,0.27293,0.328627,0.673976,0.682162,-2.27474,8.32388,-1.80365,-4.87047
L,-2.45851,8.29839,-2.12622,-5.05395, ,0.272431,0.328246,0.672931,0.68084,-2.3645,8.0802,-1.78726,-4.87778
R,-2.46125,7.9196,-1.631,-4.81959,1.901007,0.271868,0.327611,0.6716,0.679444,-2.45348,7.83617,-1.77248,-4.8843
L,-2.46125,7.9196,-1.631,-4.81959, ,0.271357,0.327611,0.670268,0.67806,-2.54177,7.59184,-1.75931,-4.89006
R,-2.8131,7.40067,-2.13157,-4.80853,1.910005,0.271055,0.326957,0.669344,0.676692,-2.62944,7.34723,-1.74777,-4.89507
L,-2.8131,7.40067,-2.13157,-4.80853, ,0.270572,0.326845,0.66845,0.675334,-2.71658,7.10238,-1.73786,-4.89933
R,-2.88164,6.97184,-1.67747,-4.86414,1.983066,0.270068,0.326262,0.667098,0.673965,-2.80326,6.85734,-1.72958,-4.90286
L,-2.88164,6.97184,-1.67747,-4.86414, ,0.269521,0.326404,0.665753,0.672604,-2.88957,6.61214,-1.72295,-4.90566
R,-2.90435,6.55005,-1.43262,-4.47628,2.010314,0.269015,0.325953,0.664656,0.671806,-2.97559,6.36681,-1.71797,-4.90774
L,-2.90435,6.55005,-1.43262,-4.47628, ,0.268659,0.326431,0.663561,0.671016,-3.0614,6.12139,-1.71464,-4.90911
R,-3.19452,6.02763,-1.71259,-4.84584,2.033971,0.268138,0.325918,0.662232,0.669685,-3.14709,5.87592,-1.71297,-4.90976
L,-3.19452,6.02763,-1.71259,-4.84584, ,0.267614,0.326233,0.660912,0.668362,-3.23274,5.63043,-1.71295,-4.9097
R,-3.3804,5.50986,-1.84676,-4.78023,2.116498,0.267111,0.32568,0.659652,0.667084,-3.31843,5.38496,-1.71458,-4.90893
L,-3.3804,5.50986,-1.84676,-4.78023, ,0.266587,0.325869,0.658397,0.665812,-3.40424,5.13955,-1.71787,-4.90745
R,-3.51212,5.02764,-1.61649,-4.8746,2.187207,0.266065,0.325334,0.657133,0.664503,-3.49026,4.89422,-1.72281,-4.90525
L,-3.51212,5.02764,-1.61649,-4.8746, ,0.265573,0.32556,0.655882,0.663201,-3.57657,4.64902,-1.72939,-4.90233
R,-3.71443,4.49019,-1.88181,-4.83744,2.251103,0.265073,0.324969,0.654661,0.661915,-3.66325,4.40398,-1.73763,-4.89868
L,-3.71443,4.49019,-1.88181,-4.83744, ,0.264567,0.324992,0.65344,0.660636,-3.75039,4.15913,-1.74749,-4.8943
R,-3.9098,4.00132,-1.78627,-4.95747,2.343067,0.264091,0.324407,0.652175,0.659368,-3.83806,3.91452,-1.75899,-4.88918
L,-3.9098,4.00132,-1.78627,-4.95747, ,0.263583,0.324433,0.650915,0.65811,-3.92635,3.67019,-1.77212,-4.8833
R,-4.0834,3.59772,-1.8754,-4.65124,2.432797,0.263109,0.323984,0.649685,0.656992,-4.01533,3.42616,-1.78686,-4.87666
L,-4.0834,3.59772,-1.8754,-4.65124, ,0.262608,0.324382,0.648455,0.655871,-4.10509,3.18248,-1.8032,-4.86925
R,-4.32691,3.04647,-2.10141,-4.86802,2.508757,0.262232,0.32383,0.647448,0.654618,-4.19571,2.93919,-1.82113,-4.86104
L,-4.32691,3.04647,-2.10141,-4.86802, ,0.261744,0.323934,0.646416,0.653373,-4.28727,2.69633,-1.84065,-4.85202
R,-4.51917,2.52312,-1.98211,-4.98464,2.627935,0.261389,0.323348,0.645233,0.652194,-4.37985,2.45393,-1.86173,-4.84218
L,-4.51917,2.52312,-1.98211,-4.98464, ,0.26091,0.323303,0.644042,0.65103,-4.47352,2.21205,-1.88436,-4.83149
R,-4.70463,2.03729,-2.24243,-4.83013,2.736178,0.260553,0.322721,0.643157,0.649805,-4.56836,1.97072,-1.90853,-4.81994
L,-4.70463,2.03729,-2.24243,-4.83013, ,0.260077,0.322664,0.642228,0.648589,-4.66444,1.72998,-1.93422,-4.80751
R,-4.95635,1.49745,-2.37015,-5.00196,2.836121,0.259863,0.322062,0.641515,0.647502,-4.76186,1.48989,-1.9614,-4.79417
L,-4.95635,1.49745,-2.37015,-5.00196, ,0.259445,0.321815,0.640741,0.646439,-4.86066,1.25049,-1.99007,-4.7799
R,-5.1482,1.06583,-2.17278,-4.77329,2.951878,0.259215,0.321236,0.63962,0.645241,-4.96095,1.01182,-2.02019,-4.76468
L,-5.1482,1.06583,-2.17278,-4.77329, ,0.258788,0.321132,0.638481,0.644051,-5.06277,0.77393,-2.05174,-4.74848
R,-5.33206,0.41153,-2.14902,-5.27816,3.032347,0.258507,0.320631,0.637319,0.643721,-5.16621,0.536876,-2.08471,-4.73127
L,-5.33206,0.41153,-2.14902,-5.27816, ,0.25806,0.320114,0.636153,0.643451,-5.27133,0.300706,-2.11906,-4.71303
R,-5.55564,-0.15866,-1.84909,-5.39444,-3.120632,0.257811,0.319816,0.635259,0.643669,-5.3782,0.0654719,-2.15477,-4.69374
L,-5.55564,-0.15866,-1.84909,-5.39444, ,0.257376,0.319235,0.63444,0.643967,-5.4869,-0.168772,-2.1918,-4.67335
R,-5.7646,-0.478476,-2.06978,-4.75336,-3.020577,0.257106,0.318689,0.633363,0.642829,-5.59748,-0.401971,-2.23014,-4.65185
L,-5.7646,-0.478476,-2.06978,-4.75336, ,0.256662,0.318251,0.632333,0.641711,-5.71001,-0.634069,-2.26974,-4.62919
R,-5.94847,-0.910606,-2.38021,-4.67695,-2.983205,0.256308,0.317689,0.631209,0.64057,-5.82456,-0.865006,-2.31058,-4.60536
L,-5.94847,-0.910606,-2.38021,-4.67695, ,0.255848,0.317311,0.630078,0.639447,-5.94118,-1.09472,-2.35262,-4.58032
R,-6.11243,-1.47436,-2.18534,-4.93502,-2.922381,0.25541,0.316873,0.629078,0.63871,-6.05993,-1.32316,-2.39581,-4.55404
L,-6.11243,-1.47436,-2.18534,-4.93502, ,0.254988,0.316341,0.628142,0.638038,-6.18087,-1.55025,-2.44014,-4.52648
R,-6.35547,-1.94002,-2.58043,-4.97748,-2.840229,0.254554,0.315931,0.627052,0.637547,-6.30406,-1.77593,-2.48555,-4.49762
L,-6.35547,-1.94002,-2.58043,-4.97748, ,0.254142,0.315392,0.62595,0.637141,-6.42954,-2.00014,-2.532,-4.46742
R,-6.67375,-2.30635,-2.62379,-4.56554,-2.788441,0.253788,0.314875,0.624853,0.636065,-6.55738,-2.22281,-2.57946,-4.43585
L,-6.67375,-2.30635,-2.62379,-4.56554, ,0.253344,0.314428,0.623756,0.635021,-6.68761,-2.44386,-2.62788,-4.40288
R,-6.97861,-2.72038,-2.77221,-4.47361,-2.762523,0.253074,0.313896,0.622689,0.63394,-6.82029,-2.66323,-2.6772,-4.36847
L,-6.97861,-2.72038,-2.77221,-4.47361, ,0.252636,0.313492,0.621609,0.63289,-6.95546,-2.88084,-2.7274,-4.3326
R,-7.2265,-3.1898,-2.63934,-4.4994,-2.729956,0.25232,0.312995,0.620583,0.631905,-7.09316,-3.09663,-2.7784,-4.29523
L,-7.2265,-3.1898,-2.63934,-4.4994, ,0.251883,0.312534,0.61961,0.630972,-7.23344,-3.3105,-2.83017,-4.25632
R,-7.48986,-3.74383,-2.57174,-4.75298,-2.689274,0.251537,0.312266,0.618811,0.630673,-7.37632,-3.5224,-2.88265,-4.21586
L,-7.48986,-3.74383,-2.57174,-4.75298, ,0.251111,0.311729,0.618115,0.630503,-7.52184,-3.73223,-2.93579,-4.1738
R,-7.75524,-4.15073,-2.70734,-4.63786,-2.642896,0.250731,0.311439,0.617277,0.630123,-7.67004,-3.93992,-2.98953,-4.13012
L,-7.75524,-4.15073,-2.70734,-4.63786, ,0.250332,0.310908,0.616536,0.629876,-7.82094,-4.14538,-3.04381,-4.08479
R,-8.0388,-4.59813,-2.73514,-4.59638,-2.619797,0.249934,0.31072,0.615851,0.629648,-7.97457,-4.34854,-3.09857,-4.03778
L,-8.0388,-4.59813,-2.73514,-4.59638, ,0.249567,0.310206,0.615289,0.629573,-8.13095,-4.5493,-3.15376,-3.98906
R,-8.32845,-4.99801,-2.61592,-4.34636,-2.594971,0.249155,0.310023,0.615217,0.628956,-8.2901,-4.74759,-3.2093,-3.93862
L,-8.32845,-4.99801,-2.61592,-4.34636, ,0.248839,0.309517,0.615334,0.628463,-8.45204,-4.94331,-3.26514,-3.88641
R,-8.65138,-5.2623,-2.78304,-3.95376,-2.577665,0.248429,0.309083,0.615092,0.627447,-8.61678,-5.13637,-3.32121,-3.83242
L,-8.65138,-5.2623,-2.78304,-3.95376, ,0.248133,0.308588,0.615024,0.62648,-8.78433,-5.32669,-3.37745,-3.77663
R,-8.95488,-5.66323,-2.91649,-4.0214,-2.576847,0.247719,0.308194,0.614724,0.625679,-8.95469,-5.51417,-3.43377,-3.71901
L,-8.95488,-5.66323,-2.91649,-4.0214, ,0.247508,0.307688,0.614592,0.624987,-9.12788,-5.69872,-3.49012,-3.65955
R,-9.2488,-5.93475,-2.95078,-3.73362,-2.561038,0.247118,0.307194,0.61453,0.624,-9.30388,-5.88026,-3.54643,-3.59823
L,-9.2488,-5.93475,-2.95078,-3.73362, ,0.247076,0.30677,0.614657,0.623074,-9.4827,-6.05868,-3.60261,-3.53503
R,-9.58591,-6.31358,-3.09081,-3.78575,-2.557552,0.24671,0.306299,0.614508,0.622312,-9.66432,-6.23389,-3.6586,-3.46994
L,-9.58591,-6.31358,-3.09081,-3.78575, ,0.246764,0.305842,0.614538,0.621677,-9.84874,-6.4058,-3.71431,-3.40295
R,-10.0715,-6.55701,-3.58403,-3.58968,-2.546938,0.246369,0.305343,0.613625,0.620833,-10.0359,-6.57431,-3.76969,-3.33404
L,-10.0715,-6.55701,-3.58403,-3.58968, ,0.246125,0.305023,0.612779,0.620101,-10.2259,-6.73933,-3.82463,-3.26321
R,-10.4202,-6.8922,-3.63223,-3.58157,-2.556071,0.245726,0.304528,0.611945,0.619494,-10.4186,-6.90075,-3.87907,-3.19046
L,-10.4202,-6.8922,-3.63223,-3.58157, ,0.245575,0.304182,0.611193,0.619059,-10.614,-7.05849,-3.93293,-3.11577
R,-10.846,-7.14633,-3.80965,-3.39862,-2.549656,0.245186,0.303714,0.610289,0.618396,-10.8121,-7.21245,-3.98613,-3.03916
L,-10.846,-7.14633,-3.80965,-3.39862, ,0.244975,0.303473,0.609445,0.617901,-11.0128,-7.36252,-4.03859,-2.96062
R,-11.1914,-7.47894,-3.70604,-3.35766,-2.553492,0.244586,0.302991,0.608856,0.617502,-11.2161,-7.50862,-4.09021,-2.88015
L,-11.1914,-7.47894,-3.70604,-3.35766, ,0.244542,0.302662,0.60838,0.617326,-11.422,-7.65064,-4.14093,-2.79777
R,-11.5705,-7.7456,-3.73476,-3.22331,-2.547228,0.244176,0.30219,0.607955,0.617014,-11.6304,-7.78849,-4.19066,-2.71349
L,-11.5705,-7.7456,-3.73476,-3.22331, ,0.244265,0.301874,0.607654,0.616948,-11.8413,-7.92208,-4.23932,-2.6273
R,-11.9414,-8.01287,-3.57628,-3.00882,-2.547513,0.243961,0.301403,0.608007,0.616537,-12.0546,-8.05131,-4.28682,-2.53924
L,-11.9414,-8.01287,-3.57628,-3.00882, ,0.244275,0.301067,0.608534,0.616366,-12.2702,-8.17609,-4.33309,-2.44932
R,-12.3791,-8.25701,-3.99369,-3.08119,-2.547176,0.243968,0.300601,0.607959,0.616732,-12.4881,-8.29633,-4.37802,-2.35756
L,-12.3791,-8.25701,-3.99369,-3.08119, ,0.244281,0.300255,0.607478,0.617462,-12.7082,-8.41193,-4.42156,-2.26399
R,-12.7781,-8.46902,-3.78199,-2.75528,-2.551093,0.244048,0.299801,0.607723,0.617368,-12.9304,-8.5228,-4.4636,-2.16863
L,-12.7781,-8.46902,-3.78199,-2.75528, ,0.244572,0.299466,0.608113,0.617586,-13.1547,-8.62886,-4.50407,-2.07151
R,-13.294,-8.64218,-4.14265,-2.64029,-2.554975,0.24424,0.299041,0.607577,0.617748,-13.381,-8.73002,-4.54289,-1.97267
L,-13.294,-8.64218,-4.14265,-2.64029, ,0.244492,0.298753,0.607124,0.61827,-13.6092,-8.82619,-4.57997,-1.87214
R,-13.7187,-8.75779,-3.93245,-2.21914,-2.565432,0.244206,0.298423,0.607372,0.617819,-13.8392,-8.91729,-4.61524,-1.76997
L,-13.7187,-8.75779,-3.93245,-2.21914, ,0.244612,0.298275,0.607737,0.61763,-14.0709,-9.00324,-4.64861,-1.6662
R,-14.216,-8.92384,-4.36393,-2.27244,-2.574895,0.244285,0.297949,0.607056,0.61794,-14.3043,-9.08395,-4.68001,-1.56086
L,-14.216,-8.92384,-4.36393,-2.27244, ,0.244565,0.297778,0.606428,0.618652,-14.5391,-9.15936,-4.70936,-1.45402
R,-14.6097,-9.18728,-4.14888,-2.25262,-2.583320,0.244363,0.297333,0.606372,0.619735,-14.7754,-9.22939,-4.73658,-1.34573
L,-14.6097,-9.18728,-4.14888,-2.25262, ,0.245003,0.296939,0.606392,0.621325,-15.013,-9.29397,-4.76161,-1.23603
R,-15.0876,-9.42299,-4.18619,-2.23445,-2.581933,0.244798,0.296514,0.606367,0.623382,-15.2517,-9.35302,-4.78436,-1.125
L,-15.0876,-9.42299,-4.18619,-2.23445, ,0.245435,0.296067,0.606404,0.626052,-15.4916,-9.40649,-4.80476,-1.01269
R,-15.5662,-9.53984,-4.07123,-1.92019,-2.585081,0.245234,0.295658,0.606893,0.627615,-15.7324,-9.45431,-4.82275,-0.899159
L,-15.5662,-9.53984,-4.07123,-1.92019, ,0.245884,0.295223,0.607437,0.629755,-15.9741,-9.49642,-4.83827,-0.784484
R,-16.1242,-9.49807,-4.2675,-1.48825,-2.594393,0.245568,0.294787,0.607368,0.630408,-16.2164,-9.53277,-4.85124,-0.668734
L,-16.1242,-9.49807,-4.2675,-1.48825, ,0.245884,0.294368,0.607329,0.631541,-16.4594,-9.5633,-4.8616,-0.55198
R,-16.484,-9.6252,-4.12739,-1.43147,-2.613870,0.245807,0.293937,0.607773,0.632943,-16.7027,-9.58797,-4.8693,-0.434301
L,-16.484,-9.6252,-4.12739,-1.43147, ,0.246732,0.293502,0.608233,0.634919,-16.9464,-9.60673,-4.87427,-0.315773
R,-16.8457,-9.99455,-4.13198,-1.86223,-2.617416,0.247079,0.293777,0.608681,0.640421,-17.1903,-9.61954,-4.87646,-0.196479
L,-16.8457,-9.99455,-4.13198,-1.86223, ,0.248776,0.294024,0.609124,0.646788,-17.4342,-9.62636,-4.87583,-0.0765024
R,-17.4158,-9.94656,-4.20306,-1.37453,-2.608643,0.248817,0.294102,0.60931,0.650403,-17.6781,-9.62717,-4.87232,0.0440703
L,-17.4158,-9.94656,-4.20306,-1.37453, ,0.249957,0.294196,0.609473,0.654779,-17.9216,-9.62194,-4.86588,0.165151
R,-17.9425,-9.85897,-4.21077,-0.923583,-2.627026,0.249881,0.294072,0.609583,0.657088,-18.1648,-9.61064,-4.85648,0.286648
L,-17.9425,-9.85897,-4.21077,-0.923583, ,0.250776,0.293993,0.609653,0.660059,-18.4074,-9.59325,-4.84408,0.40847
R,-18.3818,-9.88605,-4.33427,-0.863579,-2.644984,0.250826,0.294061,0.60935,0.663371,-18.6493,-9.56977,-4.82864,0.530522
L,-18.3818,-9.88605,-4.33427,-0.863579, ,0.251955,0.294224,0.609005,0.667421,-18.8904,-9.54017,-4.81012,0.652707
R,-18.8614,-9.78308,-4.42795,-0.568522,-2.654220,0.252006,0.29418,0.608433,0.670358,-19.1305,-9.50447,-4.78851,0.774927
L,-18.8614,-9.78308,-4.42795,-0.568522, ,0.253116,0.294259,0.607823,0.673999,-19.3694,-9.46265,-4.76378,0.897083
R,-19.3894,-9.5923,-4.28775,-0.053048,-2.670192,0.25302,0.29399,0.607424,0.675479,-19.6069,-9.41472,-4.73591,1.01907
L,-19.3894,-9.5923,-4.28775,-0.053048, ,0.253822,0.29383,0.606964,0.677531,-19.8431,-9.36071,-4.70487,1.1408
R,-20.0049,-9.15753,-4.46199,0.683367,-2.690597,0.253489,0.29351,0.606199,0.67727,-20.0775,-9.30061,-4.67066,1.26215
L,-20.0049,-9.15753,-4.46199,0.683367, ,0.253651,0.29312,0.605404,0.677334,-20.3102,-9.23446,-4.63328,1.38303
R,-20.4173,-9.21812,-4.39818,0.484568,-2.723376,0.253377,0.292719,0.604633,0.678548,-20.5409,-9.16227,-4.59271,1.50334
L,-20.4173,-9.21812,-4.39818,0.484568, ,0.253711,0.292391,0.603829,0.68029,-20.7696,-9.08409,-4.54895,1.62296
R,-20.9627,-8.98184,-4.34577,0.847078,-2.727385,0.253359,0.291979,0.603033,0.68099,-20.9959,-8.99994,-4.50202,1.74179
L,-20.9627,-8.98184,-4.34577,0.847078, ,0.25337,0.291593,0.602209,0.682151,-21.2198,-8.90987,-4.45191,1.85972
R,-21.4454,-8.8134,-4.20438,1.04252,-2.747534,0.253014,0.291183,0.601451,0.682989,-21.4412,-8.81393,-4.39865,1.97666
L,-21.4454,-8.8134,-4.20438,1.04252, ,0.252914,0.290824,0.600652,0.684292,-21.6597,-8.71217,-4.34224,2.0925
R,-21.8972,-8.43299,-3.88137,1.58809,-2.762553,0.252563,0.290559,0.600188,0.684119,-21.8754,-8.60465,-4.2827,2.20712
L,-21.8972,-8.43299,-3.88137,1.58809, ,0.252412,0.290171,0.599618,0.684258,-22.0881,-8.49143,-4.22007,2.32043
R,-22.3177,-8.15671,-4.04976,1.73373,-2.786084,0.252063,0.289991,0.59881,0.684298,-22.2975,-8.37258,-4.15437,2.43232
L,-22.3177,-8.15671,-4.04976,1.73373, ,0.251904,0.289629,0.597983,0.684675,-22.5035,-8.24817,-4.08564,2.5427
R,-22.6243,-8.14281,-3.76692,1.53816,-2.803726,0.251592,0.289231,0.597297,0.686227,-22.7061,-8.11829,-4.01391,2.65145
L,-22.6243,-8.14281,-3.76692,1.53816, ,0.251677,0.288955,0.596542,0.688268,-22.9049,-7.98301,-3.93923,2.75848
R,-22.9748,-8.0441,-3.3619,1.55751,-2.807297,0.251416,0.288751,0.596298,0.690724,-23.1,-7.84243,-3.86163,2.8637
L,-22.9748,-8.0441,-3.3619,1.55751, ,0.251617,0.288928,0.595885,0.693711,-23.2911,-7.69663,-3.78118,2.967
R,-23.3851,-7.68925,-3.59761,1.81355,-2.815292,0.25132,0.288631,0.595093,0.69586,-23.4781,-7.54572,-3.69792,3.06828
L,-23.3851,-7.68925,-3.59761,1.81355, ,0.25139,0.288661,0.594283,0.698496,-23.6609,-7.3898,-3.61191,3.16746
R,-23.8027,-7.29108,-3.53049,2.16486,-2.835350,0.251055,0.288286,0.593475,0.699898,-23.8393,-7.22897,-3.52321,3.26445
L,-23.8027,-7.29108,-3.53049,2.16486, ,0.250954,0.288139,0.592692,0.701708,-24.0132,-7.06336,-3.43189,3.35916
R,-24.1903,-6.82786,-3.29676,2.58291,-2.856686,0.250615,0.28777,0.591895,0.702213,-24.1825,-6.89307,-3.33801,3.45149
L,-24.1903,-6.82786,-3.29676,2.58291, ,0.250409,0.287438,0.591103,0.703029,-24.347,-6.71823,-3.24166,3.54138
R,-24.487,-6.70294,-2.92965,2.44629,-2.879814,0.250075,0.287177,0.590412,0.704755,-24.5066,-6.53896,-3.14289,3.62873
L,-24.487,-6.70294,-2.92965,2.44629, ,0.249902,0.287356,0.589648,0.706861,-24.6612,-6.35538,-3.0418,3.71347
R,-24.7576,-6.36888,-2.73812,2.60853,-2.886638,0.249583,0.28716,0.588951,0.708579,-24.8107,-6.16764,-2.93846,3.79553
L,-24.7576,-6.36888,-2.73812,2.60853, ,0.249458,0.287494,0.588185,0.710649,-24.955,-5.97587,-2.83295,3.87484
R,-25.0419,-5.87253,-2.63519,2.96676,-2.902256,0.249141,0.287151,0.587421,0.711517,-25.094,-5.7802,-2.72537,3.95132
L,-25.0419,-5.87253,-2.63519,2.96676, ,0.248994,0.287164,0.586642,0.71266,-25.2276,-5.58079,-2.61581,4.02492
R,-25.3323,-5.53554,-2.64622,3.02586,-2.924716,0.248667,0.286898,0.585911,0.71384,-25.3556,-5.37777,-2.50435,4.09557
L,-25.3323,-5.53554,-2.64622,3.02586, ,0.248452,0.28713,0.585284,0.715287,-25.4779,-5.1713,-2.39109,4.16322
R,-25.4984,-5.5592,-2.53658,2.56533,-2.939935,0.248173,0.288386,0.584666,0.719418,-25.5946,-4.96152,-2.27613,4.22781
L,-25.4984,-5.5592,-2.53658,2.56533, ,0.248075,0.290986,0.584218,0.723882,-25.7055,-4.7486,-2.15956,4.2893
R,-25.764,-5.09624,-2.36471,2.88436,-2.938519,0.247761,0.292032,0.583687,0.7268,-25.8105,-4.53268,-2.04149,4.34764
L,-25.764,-5.09624,-2.36471,2.88436, ,0.247549,0.294377,0.583363,0.729986,-25.9096,-4.31392,-1.92202,4.40279
R,-26.0351,-4.72616,-1.83929,3.05947,-2.958746,0.247232,0.295767,0.582607,0.732503,-26.0027,-4.0925,-1.80125,4.45471
L,-26.0351,-4.72616,-1.83929,3.05947, ,0.246927,0.298598,0.581907,0.735243,-26.0897,-3.86856,-1.67928,4.50337
R,-26.2206,-4.30269,-1.43405,3.26143,-2.974575,0.24662,0.3001,0.581186,0.737208,-26.1706,-3.64227,-1.55623,4.54875
L,-26.2206,-4.30269,-1.43405,3.26143, ,0.246304,0.303099,0.580434,0.739349,-26.2453,-3.41381,-1.4322,4.59081
R,-26.3481,-3.77211,-1.13635,3.56635,-2.991889,0.245993,0.30418,0.579751,0.740366,-26.3138,-3.18332,-1.30729,4.62954
L,-26.3481,-3.77211,-1.13635,3.56635, ,0.24568,0.306629,0.57901,0.741509,-26.376,-2.95098,-1.18162,4.66493
R,-26.4476,-3.43172,-1.00283,3.54919,-3.013230,0.245367,0.308367,0.578273,0.742835,-26.4319,-2.71697,-1.05529,4.69696
L,-26.4476,-3.43172,-1.00283,3.54919, ,0.245059,0.311699,0.577545,0.744266,-26.4815,-2.48143,-0.928411,4.72562
R,-26.5796,-2.76419,-0.960441,3.98406,-3.026211,0.244762,0.312406,0.576864,0.744324,-26.5247,-2.24456,-0.80109,4.75091
L,-26.5796,-2.76419,-0.960441,3.98406, ,0.244452,0.31434,0.576312,0.744441,-26.5616,-2.0065,-0.673434,4.77284
R,-26.6485,-2.14354,-0.824938,4.29212,-3.053137,0.244158,0.314512,0.575752,0.743921,-26.5921,-1.76744,-0.545553,4.79141
L,-26.6485,-2.14354,-0.824938,4.29212, ,0.243854,0.315639,0.575388,0.74343,-26.6161,-1.52753,-0.417552,4.80664
R,-26.6525,-1.87762,-0.328003,4.0556,-3.077548,0.243548,0.316635,0.574664,0.743479,-26.6338,-1.28695,-0.289538,4.81852
