Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
R,12.7043,1.95534,5.13012,1.0882,0.157693,0.3233,0.145196,0.863565,0.860946,12.5394,2.13677,4.71257,1.87338
L,12.7043,1.95534,5.13012,1.0882, ,0.32014,0.149052,0.85714,0.860859,12.7743,2.23227,4.67842,1.94485
R,13.2125,2.23807,5.20613,1.45503,0.154920,0.318247,0.148143,0.85226,0.855905,13.0075,2.33137,4.64258,2.01701
L,13.2125,2.23807,5.20613,1.45503, ,0.315133,0.14923,0.848051,0.852121,13.2388,2.43409,4.605,2.08981
R,13.5616,2.62223,4.5395,1.86613,0.171851,0.312356,0.148222,0.839865,0.844892,13.4682,2.54047,4.56565,2.16317
L,13.5616,2.62223,4.5395,1.86613, ,0.309942,0.146869,0.831906,0.838433,13.6955,2.65053,4.52448,2.23703
R,13.9992,2.79359,4.52601,1.84023,0.197789,0.307244,0.145557,0.82419,0.833104,13.9208,2.7643,4.48147,2.31134
L,13.9992,2.79359,4.52601,1.84023, ,0.305063,0.144717,0.816752,0.828769,14.1439,2.88179,4.43656,2.38601
R,14.4899,2.95427,4.80097,1.84097,0.203194,0.30279,0.143567,0.81129,0.825505,14.3646,3.00303,4.38974,2.46099
L,14.4899,2.95427,4.80097,1.84097, ,0.300375,0.144151,0.806447,0.823397,14.583,3.12802,4.34097,2.5362
R,14.9178,3.3761,4.73876,2.29868,0.206651,0.298184,0.143759,0.801631,0.817301,14.7989,3.25679,4.29021,2.61157
L,14.9178,3.3761,4.73876,2.29868, ,0.295901,0.142546,0.797483,0.811921,15.0122,3.38932,4.23744,2.68703
R,15.3452,3.73628,4.40068,2.47262,0.230129,0.29385,0.143945,0.791311,0.805995,15.2228,3.52563,4.18263,2.76249
L,15.3452,3.73628,4.40068,2.47262, ,0.291636,0.143046,0.785587,0.800729,15.4306,3.66572,4.12575,2.83789
R,15.798,3.82889,4.4149,2.18723,0.247197,0.29001,0.141909,0.780479,0.799578,15.6355,3.80957,4.06678,2.91315
L,15.798,3.82889,4.4149,2.18723, ,0.287742,0.141703,0.775974,0.799599,15.8375,3.95719,4.00571,2.98817
R,16.22,4.08021,4.16619,2.18782,0.244268,0.286407,0.140636,0.770396,0.800833,16.0363,4.10854,3.94251,3.0629
L,16.22,4.08021,4.16619,2.18782, ,0.284199,0.141393,0.765287,0.803327,16.2319,4.26363,3.87716,3.13723
R,16.6495,4.3446,4.24099,2.28292,0.252874,0.283399,0.140644,0.76132,0.805363,16.4242,4.42242,3.80966,3.21109
L,16.6495,4.3446,4.24099,2.28292, ,0.281312,0.142644,0.758092,0.80864,16.613,4.5849,3.74,3.28438
R,16.9943,4.69357,3.71448,2.37937,0.261691,0.280246,0.141763,0.752518,0.811381,16.7983,4.75103,3.66817,3.35704
L,16.9943,4.69357,3.71448,2.37937, ,0.278213,0.143365,0.747186,0.81533,16.9799,4.92077,3.59416,3.42897
R,17.3766,4.85995,3.75138,2.26179,0.276694,0.277452,0.145062,0.742354,0.822905,17.1579,5.09409,3.51797,3.50008
L,17.3766,4.85995,3.75138,2.26179, ,0.275543,0.152071,0.738036,0.831715,17.3319,5.27094,3.4396,3.57028
R,17.7471,5.0006,3.68274,2.09768,0.279040,0.275143,0.16008,0.733885,0.84567,17.5019,5.45128,3.35907,3.63949
L,17.7471,5.0006,3.68274,2.09768, ,0.273409,0.175467,0.730391,0.860737,17.6679,5.63506,3.27637,3.70762
