L, 0.312243, 0.58034, 0, 0,  , 0.287757, 0.0196602, 5.19994, 0
R, 0.779913, 0.722413, 6.65259, 1.97674, 1.077186, 0.211208, 0.0876373, 3.81773, 1.3965
R, 0.815911, 0.252273, 4.02203, 2.40088, 0.566942, 0.368494, 0.213473, 3.19037, 1.79006
R, 1.41984, 0.46923, 4.84549, 1.72433, 0.384121, 0.399297, 0.19651, 2.76854, 1.76735
R, 1.96211, 0.601069, 4.93141, 1.3359, 0.324993, 0.411581, 0.175779, 2.47908, 1.68209
R, 2.59534, 0.663928, 5.18745, 0.769716, 0.290741, 0.401067, 0.161817, 2.26308, 1.56108
R, 3.23205, 0.612332, 5.33373, 0.0648654, 0.233576, 0.381032, 0.149864, 2.09591, 1.44542
R, 3.82477, 0.626633, 5.45917, 0.0672903, 0.162886, 0.360468, 0.14023, 1.96294, 1.35249
R, 4.37972, 0.642317, 5.29363, 0.0712842, 0.143910, 0.342034, 0.132283, 1.85107, 1.27603
R, 4.91739, 0.64177, 5.05143, 0.0101947, 0.131531, 0.325892, 0.12607, 1.7565, 1.21339
R, 5.42504, 0.650263, 5.28578, 0.05922, 0.117990, 0.312337, 0.121558, 1.67515, 1.15997
R, 5.9357, 0.547441, 5.07769, -0.294874, 0.109773, 0.300736, 0.129943, 1.60399, 1.12906
R, 6.45274, 0.630103, 5.05102, 0.0345637, 0.080212, 0.290496, 0.132724, 1.54127, 1.09204
R, 6.96896, 0.622992, 4.83779, -0.0171283, 0.090806, 0.281352, 0.141054, 1.48721, 1.06408
R, 7.54929, 0.6766, 5.26143, 0.144027, 0.083170, 0.271983, 0.148737, 1.43732, 1.03675
R, 8.07469, 0.746357, 4.96298, 0.267178, 0.085361, 0.263405, 0.155292, 1.39203, 1.01142
R, 8.58583, 0.997702, 5.29067, 0.871012, 0.089953, 0.255581, 0.151414, 1.35158, 0.98122
