Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
R,12.6185,1.8819,5.09365,1.07794,0.148578,0.0960336,0.10347,1.0908,0.709683,12.5394,2.13677,4.71257,1.87338
L,12.819,2.03381,4.98023,1.35171, ,0.0952623,0.10626,1.08047,0.707497,12.7743,2.23227,4.67842,1.94485
R,13.0899,2.14095,5.12905,1.47647,0.159440,0.0950228,0.108585,1.07182,0.704546,13.0075,2.33137,4.64258,2.01701
L,13.2968,2.29544,5.02548,1.70186, ,0.0944363,0.109253,1.06289,0.699716,13.2388,2.43409,4.605,2.08981
R,13.4717,2.42145,4.61151,1.7769,0.173935,0.0935251,0.109449,1.05264,0.695022,13.4682,2.54047,4.56565,2.16317
L,13.7205,2.54837,4.63803,1.87673, ,0.092702,0.109316,1.04278,0.690211,13.6955,2.65053,4.52448,2.23703
R,13.9416,2.6467,4.58113,1.88359,0.187157,0.0918833,0.109475,1.03317,0.686264,13.9208,2.7643,4.48147,2.31134
L,14.1694,2.81494,4.5643,2.08247, ,0.0911093,0.108849,1.02388,0.681227,14.1439,2.88179,4.43656,2.38601
R,14.423,2.92158,4.73886,2.11207,0.200035,0.0906284,0.108421,1.01577,0.676725,14.3646,3.00303,4.38974,2.46099
L,14.6314,2.99059,4.69396,2.01926, ,0.0900587,0.108996,1.0079,0.674248,14.583,3.12802,4.34097,2.5362
R,14.8655,3.13917,4.73838,2.16036,0.205037,0.0897064,0.109151,1.00091,0.671031,14.7989,3.25679,4.29021,2.61157
L,15.0776,3.34855,4.6712,2.43489, ,0.0893498,0.108352,0.993994,0.666129,15.0122,3.38932,4.23744,2.68703
R,15.2903,3.4953,4.46156,2.46692,0.222885,0.0890291,0.107517,0.986333,0.661656,15.2228,3.52563,4.18263,2.76249
L,15.5049,3.69765,4.42786,2.67816, ,0.0888063,0.10671,0.97898,0.656529,15.4306,3.66572,4.12575,2.83789
R,15.7189,3.80916,4.36549,2.60561,0.238985,0.0887205,0.105846,0.971793,0.652383,15.6355,3.80957,4.06678,2.91315
L,15.9409,3.96052,4.36739,2.66055, ,0.0889737,0.105004,0.965126,0.6485,15.8375,3.95719,4.00571,2.98817
R,16.1413,4.09001,4.15297,2.60678,0.248105,0.0892461,0.104206,0.957918,0.645935,16.0363,4.10854,3.94251,3.0629
L,16.3334,4.30595,4.10266,2.83538, ,0.0894486,0.103534,0.950932,0.642039,16.2319,4.26363,3.87716,3.13723
R,16.549,4.4497,4.12795,2.84016,0.262714,0.0900895,0.102802,0.944513,0.63879,16.4242,4.42242,3.80966,3.21109
L,16.7239,4.63127,4.05859,2.95054, ,0.0904351,0.102189,0.938246,0.635316,16.613,4.5849,3.74,3.28438
R,16.8852,4.77533,3.68425,2.86305,0.275160,0.0903836,0.101477,0.931323,0.633466,16.7983,4.75103,3.66817,3.35704
L,17.0383,5.03284,3.59492,3.16884, ,0.0900006,0.101639,0.92455,0.629638,16.9799,4.92077,3.59416,3.42897
R,17.2166,5.16762,3.55428,3.0924,0.292835,0.0896307,0.101292,0.917933,0.627021,17.1579,5.09409,3.51797,3.50008
L,17.368,5.37136,3.49074,3.22618, ,0.0891007,0.10128,0.911466,0.623927,17.3319,5.27094,3.4396,3.57028
R,17.5342,5.49819,3.40002,3.10924,0.305511,0.0885614,0.100726,0.905127,0.622723,17.5019,5.45128,3.35907,3.63949
L,17.721,5.63739,3.43654,3.06318, ,0.0881716,0.100034,0.899101,0.623026,17.6679,5.63506,3.27637,3.70762
R,17.8763,5.79302,3.2741,3.03,0.312988,0.0877415,0.0994138,0.893057,0.624826,17.8297,5.82221,3.19151,3.77458
L,18.0402,6.02235,3.25112,3.23162, ,0.0873693,0.0987551,0.887245,0.624613,17.9872,6.01269,3.10453,3.84027
R,18.1993,6.2038,3.22177,3.27875,0.327492,0.0870567,0.0981037,0.881706,0.624629,18.1402,6.20641,3.01542,3.90462
L,18.3123,6.48712,3.09375,3.59856, ,0.0865311,0.0979313,0.876175,0.621983,18.2888,6.40332,2.92421,3.96753
R,18.4527,6.67218,2.97101,3.5805,0.346462,0.0860043,0.0976133,0.870685,0.620065,18.4328,6.60333,2.83093,4.0289
L,18.597,6.82205,2.97232,3.5067, ,0.0855046,0.0970095,0.865567,0.619598,18.572,6.80638,2.7356,4.08867
R,18.7541,7.0081,3.0187,3.54534,0.357263,0.0851354,0.0964025,0.861191,0.619373,18.7064,7.01237,2.63825,4.14672
L,18.9508,7.16595,3.11286,3.48382, ,0.0855654,0.0960021,0.858231,0.620703,18.8359,7.22122,2.53893,4.20299
R,19.0517,7.32431,2.78808,3.36875,0.366787,0.0856377,0.0961646,0.853859,0.624663,18.9604,7.43283,2.43767,4.25737
L,19.1267,7.64476,2.61353,3.77401, ,0.0852758,0.0955839,0.849252,0.623667,19.0798,7.64712,2.3345,4.3098
R,19.256,7.82717,2.59334,3.74981,0.386336,0.0850368,0.0950981,0.845115,0.623511,19.1939,7.86397,2.22949,4.36017
L,19.3266,8.07721,2.45746,3.92479, ,0.0845747,0.0945393,0.840914,0.622048,19.3028,8.08329,2.12266,4.40842
R,19.4313,8.26782,2.42319,3.91533,0.402193,0.084125,0.0940734,0.837173,0.621147,19.4062,8.30497,2.01409,4.45445
L,19.5252,8.42481,2.38419,3.82498, ,0.0836704,0.0941945,0.83394,0.62177,19.5042,8.5289,1.90381,4.49819
R,19.6283,8.59919,2.2416,3.73347,0.413334,0.0832621,0.0951182,0.830573,0.624171,19.5966,8.75494,1.7919,4.53956
L,19.784,8.80018,2.32141,3.75705, ,0.0834758,0.0965471,0.828701,0.626732,19.6835,8.983,1.67841,4.57848
R,19.8703,8.98881,2.10995,3.69708,0.424233,0.0837558,0.0988733,0.826096,0.630705,19.7645,9.21294,1.56341,4.61488
L,19.9867,9.25945,2.09964,3.90958, ,0.0847055,0.100226,0.824388,0.631997,19.8398,9.44463,1.44697,4.64869
R,20.0468,9.44354,1.81269,3.7961,0.439844,0.0854563,0.102632,0.821444,0.63527,19.9093,9.67795,1.32916,4.67984
L,20.116,9.72942,1.73407,4.04299, ,0.0862829,0.103834,0.81882,0.6356,19.9728,9.91275,1.21005,4.70826
R,20.1788,9.97366,1.68203,4.16329,0.456903,0.0871789,0.10485,0.816741,0.634943,20.0303,10.1489,1.08972,4.73389
L,20.2153,10.2923,1.54494,4.45276, ,0.0877953,0.104742,0.814583,0.632362,20.0818,10.3863,0.968259,4.75666
R,20.2423,10.4975,1.23881,4.31152,0.478074,0.088124,0.105,0.811322,0.630847,20.1271,10.6247,0.845742,4.77652
L,20.2892,10.8105,1.16947,4.55694, ,0.0885514,0.104598,0.808405,0.628046,20.1663,10.864,0.722256,4.7934
R,20.3167,11.0629,1.0362,4.59459,0.497059,0.088893,0.104147,0.805488,0.625203,20.1993,11.1041,0.597892,4.80727
