L,0.312243,0.58034,0,0, ,0.287757,0.0196602,5.19994,0,0.6,0.6,5.19994,0
R,0.312243,0.58034,0,0,0.580340,0.437515,0.0196827,5.19984,0.00127057,0.859997,0.600045,5.19975,0.00179686
L,1.17192,0.481295,8.57807,-0.988293, ,0.358486,0.0705195,4.67233,0.573704,1.11998,0.600225,5.19943,0.00538996
R,1.17192,0.481295,8.57807,-0.988293,0.580340,0.32742,0.0853808,4.38492,0.704548,1.37996,0.600629,5.19898,0.0107781
L,1.71404,0.584173,6.67891,0.225171, ,0.294724,0.0767521,3.97749,0.636944,1.6399,0.601347,5.19839,0.0179597
R,1.71404,0.584173,6.67891,0.225171,0.382466,0.279531,0.0704619,3.68095,0.587053,1.89982,0.60247,5.19766,0.0269323
L,2.24623,0.636238,6.08188,0.355175, ,0.260854,0.0663573,3.42428,0.556594,2.1597,0.604086,5.19678,0.0376932
R,2.24623,0.636238,6.08188,0.355175,0.606690,0.251582,0.0629685,3.2184,0.531692,2.41954,0.606284,5.19573,0.0502389
L,2.7328,0.668229,5.64251,0.342433, ,0.237863,0.0625478,3.03801,0.509769,2.67932,0.609155,5.1945,0.0645654
R,2.7328,0.668229,5.64251,0.342433,0.671756,0.234893,0.061874,2.88561,0.490642,2.93904,0.612786,5.19309,0.080668
L,3.14085,0.666592,5.13693,0.226298, ,0.224639,0.0608403,2.75137,0.469392,3.19869,0.617267,5.19147,0.0985415
R,3.14085,0.666592,5.13693,0.226298,0.702472,0.23378,0.0596131,2.63428,0.450491,3.45825,0.622685,5.18963,0.11818
L,3.77622,0.497163,5.51294,-0.367233, ,0.225193,0.0679707,2.53255,0.455071,3.71772,0.62913,5.18754,0.139576
R,3.77622,0.497163,5.51294,-0.367233,0.689222,0.223543,0.0753695,2.44199,0.460824,3.97708,0.636689,5.18519,0.162724
L,4.31868,0.517853,5.4859,-0.191424, ,0.217008,0.0799203,2.36049,0.455828,4.23632,0.645449,5.18256,0.187614
R,4.31868,0.517853,5.4859,-0.191424,0.460439,0.214713,0.0846886,2.28682,0.452856,4.49542,0.655498,5.17962,0.214238
L,4.62251,0.68873,4.73214,0.393744, ,0.210743,0.0823302,2.22115,0.440862,4.75437,0.666921,5.17634,0.242587
