Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
L,17.0712,5.0898,3.92824,3.45151, ,0.18983,0.132964,1.14185,0.393618
R,17.0712,5.0898,3.92824,3.45151,4.983468,0.188754,0.132012,1.13473,0.390839
L,17.3824,5.43517,3.67338,3.45219, ,0.187516,0.13252,1.12705,0.38833
R,17.3824,5.43517,3.67338,3.45219,5.434947,0.186741,0.13161,1.11981,0.386255
L,17.7664,5.70766,3.72525,3.22502, ,0.185815,0.130981,1.11335,0.387737
R,17.7664,5.70766,3.72525,3.22502,5.780385,0.184702,0.130773,1.10754,0.390371
L,18.133,6.09544,3.70686,3.42892, ,0.184238,0.130249,1.10233,0.390658
R,18.133,6.09544,3.70686,3.42892,6.030159,0.183023,0.130014,1.09792,0.391897
L,18.3694,6.54257,3.28755,3.7545, ,0.182063,0.130139,1.09156,0.3901
R,18.3694,6.54257,3.28755,3.7545,6.438331,0.181034,0.129485,1.08577,0.388834
L,18.6253,6.84423,3.05981,3.52404, ,0.179985,0.128733,1.07949,0.391553
R,18.6253,6.84423,3.05981,3.52404,6.918018,0.179086,0.1293,1.07376,0.395277
L,19.0307,7.19047,3.37051,3.50478, ,0.179289,0.128544,1.0711,0.400417
R,19.0307,7.19047,3.37051,3.50478,7.196637,0.178362,0.130531,1.06952,0.406553
L,19.2023,7.69416,2.85372,3.98334, ,0.177794,0.129845,1.06459,0.405682
R,19.2023,7.69416,2.85372,3.98334,7.540950,0.176735,0.130393,1.06042,0.405351
L,19.3215,8.1093,2.33453,4.03582, ,0.175704,0.129655,1.05441,0.404981
R,19.3215,8.1093,2.33453,4.03582,8.092498,0.174918,0.130614,1.04884,0.405143
L,19.4578,8.41686,2.03102,3.7359, ,0.173981,0.130416,1.04288,0.411014
R,19.4578,8.41686,2.03102,3.7359,8.512881,0.173622,0.134588,1.03725,0.417556
L,19.8212,8.83725,2.5317,3.88209, ,0.17326,0.134718,1.03537,0.421714
