Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
L,-8.13711,-4.69588,-3.1064,-4.55961, ,0.169216,0.163651,0.697742,0.446831
R,-8.13711,-4.69588,-3.1064,-4.55961,-4.606171,0.169164,0.163402,0.696588,0.447534
L,-8.3953,-5.13037,-2.94258,-4.49256, ,0.168911,0.163488,0.695666,0.448162
R,-8.3953,-5.13037,-2.94258,-4.49256,-5.151837,0.169115,0.163213,0.694844,0.449041
L,-8.79481,-5.5506,-3.27133,-4.40191, ,0.168833,0.163454,0.693709,0.449745
R,-8.79481,-5.5506,-3.27133,-4.40191,-5.579625,0.168804,0.163195,0.692615,0.450723
L,-9.0808,-5.90288,-3.14283,-4.1273, ,0.168545,0.163348,0.691753,0.45078
R,-9.0808,-5.90288,-3.14283,-4.1273,-5.990794,0.168755,0.163082,0.690997,0.451062
L,-9.35444,-6.08572,-3.01588,-3.40924, ,0.168637,0.162821,0.690679,0.450375
R,-9.35444,-6.08572,-3.01588,-3.40924,-6.315606,0.169295,0.162775,0.690527,0.449647
L,-9.64175,-6.48876,-2.97128,-3.60329, ,0.169432,0.162577,0.690705,0.449056
R,-9.64175,-6.48876,-2.97128,-3.60329,-6.426639,0.17065,0.162385,0.691085,0.448586
L,-10.0724,-6.84205,-3.38831,-3.58129, ,0.170597,0.162226,0.690407,0.448222
R,-10.0724,-6.84205,-3.38831,-3.58129,-6.849093,0.171458,0.161997,0.689853,0.448048
L,-10.575,-7.2429,-3.89978,-3.71471, ,0.171195,0.162074,0.688738,0.448618
R,-10.575,-7.2429,-3.89978,-3.71471,-7.200179,0.171448,0.161822,0.687644,0.449534
L,-11.085,-7.59354,-4.27486,-3.64965, ,0.171221,0.162092,0.686668,0.450509
R,-11.085,-7.59354,-4.27486,-3.64965,-7.614368,0.171108,0.161903,0.685647,0.451891
L,-11.3167,-7.82723,-3.66313,-3.23962, ,0.170938,0.161952,0.685083,0.451859
R,-11.3167,-7.82723,-3.66313,-3.23962,-7.958502,0.171581,0.161709,0.684639,0.452115
L,-11.61,-7.99712,-3.43526,-2.75838, ,0.171804,0.161508,0.685051,0.451457
R,-11.61,-7.99712,-3.43526,-2.75838,-8.151192,0.173345,0.161281,0.685642,0.450911
L,-12.0173,-8.18665,-3.63447,-2.48881, ,0.173653,0.161027,0.685683,0.450205
R,-12.0173,-8.18665,-3.63447,-2.48881,-8.272958,0.175377,0.160891,0.685872,0.449556
L,-12.4006,-8.35346,-3.69624,-2.23245, ,0.175947,0.160672,0.686,0.448855
R,-12.4006,-8.35346,-3.69624,-2.23245,-8.435535,0.178152,0.1607,0.686269,0.448167
L,-13.0136,-8.60906,-4.45663,-2.33351, ,0.178048,0.160453,0.685204,0.447707
R,-13.0136,-8.60906,-4.45663,-2.33351,-8.576703,0.178947,0.160346,0.684156,0.447464
L,-13.4241,-8.71783,-4.34674,-1.94439, ,0.178966,0.160211,0.68322,0.446789
R,-13.4241,-8.71783,-4.34674,-1.94439,-8.842411,0.180172,0.160347,0.682328,0.446204
L,-13.9229,-8.94983,-4.54691,-2.0617, ,0.180082,0.160127,0.6813,0.446057
R,-13.9229,-8.94983,-4.54691,-2.0617,-8.912269,0.181042,0.160054,0.680295,0.446235
L,-14.4008,-9.17072,-4.61946,-2.10769, ,0.180927,0.15981,0.679272,0.447016
R,-14.4008,-9.17072,-4.61946,-2.10769,-9.155997,0.181831,0.159599,0.678266,0.448313
L,-14.9559,-9.22375,-4.91037,-1.615, ,0.181582,0.159404,0.677284,0.448118
R,-14.9559,-9.22375,-4.91037,-1.615,-9.381488,0.182037,0.159321,0.676293,0.448251
L,-15.5503,-9.47042,-5.23342,-1.88102, ,0.18179,0.159119,0.675682,0.450111
R,-15.5503,-9.47042,-5.23342,-1.88102,-9.385253,0.181791,0.158882,0.67504,0.452651
L,-16.0795,-9.63032,-5.25175,-1.79295, ,0.18161,0.158812,0.674406,0.455337
R,-16.0795,-9.63032,-5.25175,-1.79295,-9.658521,0.181492,0.158664,0.673752,0.458798
L,-16.5197,-9.60431,-4.98629,-1.15167, ,0.181251,0.158443,0.67278,0.459282
R,-16.5197,-9.60431,-4.98629,-1.15167,-9.809619,0.181257,0.15821,0.671809,0.460265
L,-17.0627,-9.5844,-5.12472,-0.729755, ,0.181098,0.15798,0.67095,0.460135
R,-17.0627,-9.5844,-5.12472,-0.729755,-9.719476,0.180963,0.157757,0.670093,0.460368
L,-17.561,-9.61881,-5.08042,-0.609294, ,0.180827,0.157525,0.669196,0.460599
R,-17.561,-9.61881,-5.08042,-0.609294,-9.657374,0.180673,0.157294,0.668306,0.461284
L,-18.0239,-9.55975,-4.93946,-0.234516, ,0.180493,0.157099,0.667338,0.461115
R,-18.0239,-9.55975,-4.93946,-0.234516,-9.679737,0.18039,0.156893,0.666376,0.461302
L,-18.4049,-9.59571,-4.58684,-0.273595, ,0.180126,0.156665,0.665549,0.462099
R,-18.4049,-9.59571,-4.58684,-0.273595,-9.583201,0.180347,0.156443,0.664709,0.463459
L,-18.9061,-9.57277,-4.71947,-0.116493, ,0.180087,0.156226,0.663763,0.464636
R,-18.9061,-9.57277,-4.71947,-0.116493,-9.623072,0.180231,0.156043,0.662813,0.466433
L,-19.3408,-9.35741,-4.6031,0.592583, ,0.179977,0.155921,0.661914,0.466047
R,-19.3408,-9.35741,-4.6031,0.592583,-9.584424,0.180284,0.155727,0.661001,0.465938
L,-19.8347,-9.14207,-4.70827,1.08009, ,0.180026,0.155943,0.660053,0.465281
R,-19.8347,-9.14207,-4.70827,1.08009,-9.298151,0.180236,0.155951,0.659112,0.464718
L,-20.2379,-9.29697,-4.49686,0.258914, ,0.180021,0.155764,0.658213,0.467919
R,-20.2379,-9.29697,-4.49686,0.258914,-9.034065,0.180489,0.155708,0.657297,0.471938
L,-20.6745,-9.1048,-4.45596,0.778275, ,0.180304,0.155491,0.656384,0.473408
R,-20.6745,-9.1048,-4.45596,0.778275,-9.271077,0.180858,0.155372,0.655461,0.475505
L,-21.0731,-8.94465,-4.30921,1.03541, ,0.180771,0.155164,0.654581,0.476846
R,-21.0731,-8.94465,-4.30921,1.03541,-9.026972,0.181568,0.1551,0.653678,0.478782
L,-21.5035,-8.8555,-4.30752,0.990445, ,0.181502,0.155069,0.652765,0.481655
R,-21.5035,-8.8555,-4.30752,0.990445,-8.841108,0.182311,0.155418,0.651854,0.485262
L,-21.9553,-8.66974,-4.37337,1.26132, ,0.182192,0.155487,0.650995,0.487799
R,-21.9553,-8.66974,-4.37337,1.26132,-8.756460,0.18283,0.156059,0.650193,0.491015
L,-22.482,-8.45451,-4.65239,1.53961, ,0.18258,0.15622,0.649977,0.493168
R,-22.482,-8.45451,-4.65239,1.53961,-8.543604,0.182708,0.157002,0.649945,0.495941
L,-22.9654,-8.007,-4.70913,2.45651, ,0.182484,0.156791,0.650306,0.495511
R,-22.9654,-8.007,-4.70913,2.45651,-8.300548,0.182369,0.156813,0.65093,0.49529
L,-23.4557,-7.66998,-4.7696,2.7419, ,0.182323,0.156604,0.652093,0.494752
R,-23.4557,-7.66998,-4.7696,2.7419,-7.761347,0.182077,0.156525,0.653607,0.49437
L,-23.7495,-7.37939,-4.19763,2.79313, ,0.181888,0.156312,0.653431,0.494082
R,-23.7495,-7.37939,-4.19763,2.79313,-7.395787,0.181701,0.156296,0.653489,0.494022
L,-24.0614,-7.17561,-3.8606,2.55719, ,0.181472,0.156194,0.652985,0.495115
R,-24.0614,-7.17561,-3.8606,2.55719,-7.100074,0.181336,0.156673,0.652667,0.496627
L,-24.3586,-6.69338,-3.58318,3.26469, ,0.181092,0.156467,0.652028,0.496165
R,-24.3586,-6.69338,-3.58318,3.26469,-6.919890,0.181012,0.156461,0.651551,0.495857
L,-24.5224,-6.40013,-2.97571,3.16094, ,0.180912,0.156269,0.650686,0.496018
R,-24.5224,-6.40013,-2.97571,3.16094,-6.366913,0.181284,0.156522,0.649819,0.49644
L,-24.9723,-6.00692,-3.45151,3.40181, ,0.181044,0.156321,0.649737,0.496379
R,-24.9723,-6.00692,-3.45151,3.40181,-6.084035,0.180912,0.15655,0.649952,0.496528
L,-25.2598,-5.65598,-3.27139,3.4354, ,0.180679,0.156391,0.649967,0.496797
R,-25.2598,-5.65598,-3.27139,3.4354,-5.666737,0.180507,0.156838,0.650305,0.4973
L,-25.5796,-5.21429,-3.24847,3.74199, ,0.180345,0.156646,0.650938,0.497115
R,-25.5796,-5.21429,-3.24847,3.74199,-5.312441,0.180109,0.156976,0.651992,0.497086
L,-25.8067,-4.86806,-2.94296,3.65461, ,0.179947,0.15689,0.652371,0.497497
R,-25.8067,-4.86806,-2.94296,3.65461,-4.840087,0.179711,0.157621,0.653147,0.498109
L,-26.0311,-4.39231,-2.72491,3.99911, ,0.179584,0.157466,0.653583,0.497885
R,-26.0311,-4.39231,-2.72491,3.99911,-4.502601,0.179356,0.158003,0.654431,0.49778
L,-26.2177,-3.84511,-2.45658,4.45915, ,0.179242,0.157803,0.65478,0.497138
R,-26.2177,-3.84511,-2.45658,4.45915,-3.992395,0.179025,0.157936,0.655535,0.496515
L,-26.2456,-3.32817,-1.77633,4.68099, ,0.178794,0.157792,0.654921,0.495894
R,-26.2456,-3.32817,-1.77633,4.68099,-3.399195,0.178597,0.15776,0.65451,0.495261
L,-26.3068,-2.86885,-1.4127,4.65358, ,0.178402,0.157612,0.653773,0.494625
R,-26.3068,-2.86885,-1.4127,4.65358,-2.860074,0.178285,0.157598,0.653185,0.493995
L,-26.5537,-2.56006,-1.74252,4.16454, ,0.178095,0.157446,0.653647,0.494178
R,-26.5537,-2.56006,-1.74252,4.16454,-2.403493,0.177873,0.158051,0.654543,0.494435
L,-26.7004,-2.1575,-1.6567,4.12116, ,0.177785,0.158033,0.655588,0.494899
R,-26.7004,-2.1575,-1.6567,4.12116,-2.143606,0.177643,0.159051,0.657144,0.495423
L,-26.6796,-1.6457,-1.07425,4.43252, ,0.177447,0.158961,0.657143,0.495153
R,-26.6796,-1.6457,-1.07425,4.43252,-1.745381,0.177238,0.15978,0.657497,0.494908
L,-26.6995,-1.17455,-0.800825,4.51963, ,0.177035,0.159709,0.657451,0.494525
R,-26.6995,-1.17455,-0.800825,4.51963,-1.202444,0.17683,0.160584,0.657749,0.494152
L,-26.759,-0.663147,-0.736376,4.7053, ,0.176695,0.160461,0.658237,0.493574
R,-26.759,-0.663147,-0.736376,4.7053,-0.722592,0.176573,0.16117,0.659152,0.492999
L,-26.6563,-0.0744378,-0.185654,5.07443, ,0.176359,0.160969,0.658867,0.492536
R,-26.6563,-0.0744378,-0.185654,5.07443,-0.192617,0.176158,0.161199,0.658867,0.492086
L,-26.6493,0.499775,-0.105772,5.28299, ,0.175974,0.161072,0.658983,0.492038
R,-26.6493,0.499775,-0.105772,5.28299,0.433006,0.175831,0.161029,0.659456,0.492024
L,-26.6923,1.04338,-0.207107,5.33079, ,0.175855,0.161031,0.660719,0.492178
R,-26.6923,1.04338,-0.207107,5.33079,1.028073,0.176011,0.160877,0.662481,0.492387
L,-26.5661,1.50433,0.251821,5.10551, ,0.175965,0.160844,0.662971,0.49212
R,-26.5661,1.50433,0.251821,5.10551,1.576458,0.176066,0.160708,0.663858,0.491903
L,-26.4561,1.91126,0.516712,4.78185, ,0.176045,0.160564,0.664265,0.491325
R,-26.4561,1.91126,0.516712,4.78185,2.014884,0.176217,0.16054,0.665047,0.490767
L,-26.3323,2.29381,0.741875,4.48314, ,0.176247,0.160344,0.665477,0.490216
R,-26.3323,2.29381,0.741875,4.48314,2.389446,0.176531,0.160548,0.666273,0.489645
L,-26.1675,2.77245,1.02511,4.57784, ,0.176568,0.160357,0.666538,0.489054
R,-26.1675,2.77245,1.02511,4.57784,2.742128,0.176904,0.16048,0.667137,0.488478
L,-25.9573,3.31894,1.36155,4.85493, ,0.17689,0.16039,0.667107,0.488277
R,-25.9573,3.31894,1.36155,4.85493,3.230232,0.17719,0.160279,0.667354,0.488173
L,-25.7489,3.72529,1.58706,4.60773, ,0.177185,0.160138,0.6673,0.487733
R,-25.7489,3.72529,1.58706,4.60773,3.804434,0.177538,0.160081,0.667508,0.487361
L,-25.6645,4.09896,1.3549,4.33566, ,0.178032,0.159894,0.668815,0.486793
R,-25.6645,4.09896,1.3549,4.33566,4.186066,0.179164,0.159962,0.670522,0.486254
L,-25.2918,4.53042,2.09584,4.32909, ,0.179231,0.159782,0.670251,0.485754
R,-25.2918,4.53042,2.09584,4.32909,4.532526,0.179782,0.159806,0.670187,0.485315
L,-25.0608,4.92672,2.16287,4.21474, ,0.179974,0.159621,0.670188,0.484821
R,-25.0608,4.92672,2.16287,4.21474,4.963332,0.180768,0.159662,0.670425,0.484394
L,-24.6854,5.35041,2.65967,4.22165, ,0.180733,0.159493,0.669862,0.484062
R,-24.6854,5.35041,2.65967,4.22165,5.348196,0.181179,0.159457,0.669427,0.48384
L,-24.2776,5.69731,3.10278,3.98656, ,0.180996,0.159271,0.668657,0.483378
R,-24.2776,5.69731,3.10278,3.98656,5.772572,0.181126,0.159307,0.66793,0.482996
L,-23.943,6.02484,3.17871,3.76441, ,0.180939,0.159128,0.66721,0.482468
R,-23.943,6.02484,3.17871,3.76441,6.095965,0.181072,0.159267,0.666556,0.481995
L,-23.6354,6.34975,3.14667,3.60346, ,0.180923,0.159111,0.666027,0.481459
R,-23.6354,6.34975,3.14667,3.60346,6.401282,0.1812,0.159331,0.66561,0.480972
L,-23.1755,6.781,3.60042,3.82493, ,0.18099,0.159152,0.664849,0.480935
R,-23.1755,6.781,3.60042,3.82493,6.710100,0.180994,0.159111,0.664119,0.481072
L,-22.7611,7.11653,3.77018,3.67824, ,0.180798,0.158936,0.663358,0.481033
R,-22.7611,7.11653,3.77018,3.67824,7.163497,0.180732,0.158868,0.662618,0.481171
L,-22.4421,7.40532,3.58879,3.43138, ,0.180529,0.158687,0.662081,0.480938
R,-22.4421,7.40532,3.58879,3.43138,7.484357,0.180643,0.158655,0.66163,0.480849
L,-22.1353,7.72338,3.42611,3.35303, ,0.180528,0.158479,0.661592,0.480754
R,-22.1353,7.72338,3.42611,3.35303,7.748463,0.180986,0.158397,0.661691,0.480828
L,-21.7247,8.00322,3.63842,3.17979, ,0.180875,0.158221,0.661456,0.480688
R,-21.7247,8.00322,3.63842,3.17979,8.058680,0.181362,0.158135,0.66133,0.480709
L,-21.2321,8.09272,4.04079,2.46615, ,0.181175,0.158132,0.660694,0.480218
R,-21.2321,8.09272,4.04079,2.46615,8.321197,0.181421,0.158534,0.660107,0.479689
L,-20.9327,8.41901,3.71393,2.71503, ,0.181436,0.158407,0.660153,0.479298
R,-20.9327,8.41901,3.71393,2.71503,8.339334,0.182265,0.158528,0.66031,0.479011
L,-20.3971,8.68987,4.22665,2.71302, ,0.182118,0.15837,0.659685,0.478847
R,-20.3971,8.68987,4.22665,2.71302,8.690516,0.182549,0.158387,0.659103,0.478836
L,-20.0159,8.91727,4.09701,2.5759, ,0.182517,0.158227,0.658747,0.478695
R,-20.0159,8.91727,4.09701,2.5759,8.961175,0.183274,0.15822,0.658458,0.478707
L,-19.5501,9.07756,4.27241,2.27196, ,0.183231,0.158111,0.657964,0.478325
R,-19.5501,9.07756,4.27241,2.27196,9.174864,0.183973,0.158207,0.657519,0.47804
L,-18.9153,9.25202,4.92083,2.10724, ,0.18377,0.158128,0.656863,0.477637
R,-18.9153,9.25202,4.92083,2.10724,9.304754,0.183892,0.15826,0.656188,0.477322
L,-18.4236,9.46544,4.91937,2.11568, ,0.183692,0.158136,0.655499,0.477132
R,-18.4236,9.46544,4.91937,2.11568,9.462741,0.183776,0.158161,0.6548,0.477076
L,-17.8578,9.69933,5.15009,2.1854, ,0.183642,0.15799,0.654247,0.477348
R,-17.8578,9.69933,5.15009,2.1854,9.677009,0.183552,0.15788,0.653669,0.47781
L,-17.3432,9.90068,5.14899,2.13171, ,0.18346,0.157715,0.65307,0.478308
R,-17.3432,9.90068,5.14899,2.13171,9.917872,0.183332,0.157555,0.652453,0.47901
L,-16.856,10.1284,5.06246,2.17716, ,0.183235,0.157482,0.651773,0.480099
R,-16.856,10.1284,5.06246,2.17716,10.113856,0.183116,0.157331,0.651086,0.481428
L,-16.4271,10.3288,4.82074,2.12315, ,0.182943,0.157416,0.650422,0.482779
R,-16.4271,10.3288,4.82074,2.12315,10.346122,0.182947,0.157369,0.64977,0.484375
L,-15.9735,10.3744,4.73184,1.60227, ,0.182752,0.157303,0.649199,0.484438
R,-15.9735,10.3744,4.73184,1.60227,10.541145,0.182872,0.157168,0.648646,0.484639
L,-15.5328,10.3738,4.63033,1.09983, ,0.182687,0.157002,0.648231,0.484154
R,-15.5328,10.3738,4.63033,1.09983,10.534608,0.183001,0.15684,0.647837,0.483709
L,-15.0075,10.4783,4.82493,1.08297, ,0.182809,0.156679,0.647244,0.483297
R,-15.0075,10.4783,4.82493,1.08297,10.483733,0.18306,0.156513,0.646663,0.482942
L,-14.4707,10.4162,4.9945,0.550735, ,0.182865,0.156431,0.645991,0.482528
R,-14.4707,10.4162,4.9945,0.550735,10.586631,0.18303,0.156414,0.645326,0.482074
L,-13.8935,10.6896,5.23739,1.23244, ,0.182868,0.156305,0.644669,0.482271
R,-13.8935,10.6896,5.23739,1.23244,10.471307,0.182867,0.156163,0.644011,0.482587
L,-13.3631,10.6908,5.25805,0.851312, ,0.182723,0.156004,0.643359,0.482247
R,-13.3631,10.6908,5.25805,0.851312,10.812804,0.182688,0.15584,0.642707,0.481965
L,-12.8942,10.8853,5.08038,1.19284, ,0.182509,0.155875,0.64204,0.482538
