Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
R,-8.0388,-4.59813,-2.73514,-4.59638,-2.619797,0.249934,0.31072,0.615851,0.629648
L,-8.0388,-4.59813,-2.73514,-4.59638, ,0.249567,0.310206,0.615289,0.629573
R,-8.32845,-4.99801,-2.61592,-4.34636,-2.594971,0.249155,0.310023,0.615217,0.628956
L,-8.32845,-4.99801,-2.61592,-4.34636, ,0.248839,0.309517,0.615334,0.628463
R,-8.65138,-5.2623,-2.78304,-3.95376,-2.577665,0.248429,0.309083,0.615092,0.627447
L,-8.65138,-5.2623,-2.78304,-3.95376, ,0.248133,0.308588,0.615024,0.62648
R,-8.95488,-5.66323,-2.91649,-4.0214,-2.576847,0.247719,0.308194,0.614724,0.625679
L,-8.95488,-5.66323,-2.91649,-4.0214, ,0.247508,0.307688,0.614592,0.624987
R,-9.2488,-5.93475,-2.95078,-3.73362,-2.561038,0.247118,0.307194,0.61453,0.624
L,-9.2488,-5.93475,-2.95078,-3.73362, ,0.247076,0.30677,0.614657,0.623074
R,-9.58591,-6.31358,-3.09081,-3.78575,-2.557552,0.24671,0.306299,0.614508,0.622312
L,-9.58591,-6.31358,-3.09081,-3.78575, ,0.246764,0.305842,0.614538,0.621677
R,-10.0715,-6.55701,-3.58403,-3.58968,-2.546938,0.246369,0.305343,0.613625,0.620833
L,-10.0715,-6.55701,-3.58403,-3.58968, ,0.246125,0.305023,0.612779,0.620101
R,-10.4202,-6.8922,-3.63223,-3.58157,-2.556071,0.245726,0.304528,0.611945,0.619494
L,-10.4202,-6.8922,-3.63223,-3.58157, ,0.245575,0.304182,0.611193,0.619059
R,-10.846,-7.14633,-3.80965,-3.39862,-2.549656,0.245186,0.303714,0.610289,0.618396
L,-10.846,-7.14633,-3.80965,-3.39862, ,0.244975,0.303473,0.609445,0.617901
R,-11.1914,-7.47894,-3.70604,-3.35766,-2.553492,0.244586,0.302991,0.608856,0.617502
L,-11.1914,-7.47894,-3.70604,-3.35766, ,0.244542,0.302662,0.60838,0.617326
R,-11.5705,-7.7456,-3.73476,-3.22331,-2.547228,0.244176,0.30219,0.607955,0.617014
L,-11.5705,-7.7456,-3.73476,-3.22331, ,0.244265,0.301874,0.607654,0.616948
R,-11.9414,-8.01287,-3.57628,-3.00882,-2.547513,0.243961,0.301403,0.608007,0.616537
L,-11.9414,-8.01287,-3.57628,-3.00882, ,0.244275,0.301067,0.608534,0.616366
R,-12.3791,-8.25701,-3.99369,-3.08119,-2.547176,0.243968,0.300601,0.607959,0.616732
L,-12.3791,-8.25701,-3.99369,-3.08119, ,0.244281,0.300255,0.607478,0.617462
R,-12.7781,-8.46902,-3.78199,-2.75528,-2.551093,0.244048,0.299801,0.607723,0.617368
L,-12.7781,-8.46902,-3.78199,-2.75528, ,0.244572,0.299466,0.608113,0.617586
R,-13.294,-8.64218,-4.14265,-2.64029,-2.554975,0.24424,0.299041,0.607577,0.617748
L,-13.294,-8.64218,-4.14265,-2.64029, ,0.244492,0.298753,0.607124,0.61827
R,-13.7187,-8.75779,-3.93245,-2.21914,-2.565432,0.244206,0.298423,0.607372,0.617819
L,-13.7187,-8.75779,-3.93245,-2.21914, ,0.244612,0.298275,0.607737,0.61763
R,-14.216,-8.92384,-4.36393,-2.27244,-2.574895,0.244285,0.297949,0.607056,0.61794
L,-14.216,-8.92384,-4.36393,-2.27244, ,0.244565,0.297778,0.606428,0.618652
R,-14.6097,-9.18728,-4.14888,-2.25262,-2.583320,0.244363,0.297333,0.606372,0.619735
L,-14.6097,-9.18728,-4.14888,-2.25262, ,0.245003,0.296939,0.606392,0.621325
R,-15.0876,-9.42299,-4.18619,-2.23445,-2.581933,0.244798,0.296514,0.606367,0.623382
L,-15.0876,-9.42299,-4.18619,-2.23445, ,0.245435,0.296067,0.606404,0.626052
R,-15.5662,-9.53984,-4.07123,-1.92019,-2.585081,0.245234,0.295658,0.606893,0.627615
L,-15.5662,-9.53984,-4.07123,-1.92019, ,0.245884,0.295223,0.607437,0.629755
R,-16.1242,-9.49807,-4.2675,-1.48825,-2.594393,0.245568,0.294787,0.607368,0.630408
L,-16.1242,-9.49807,-4.2675,-1.48825, ,0.245884,0.294368,0.607329,0.631541
R,-16.484,-9.6252,-4.12739,-1.43147,-2.613870,0.245807,0.293937,0.607773,0.632943
L,-16.484,-9.6252,-4.12739,-1.43147, ,0.246732,0.293502,0.608233,0.634919
R,-16.8457,-9.99455,-4.13198,-1.86223,-2.617416,0.247079,0.293777,0.608681,0.640421
L,-16.8457,-9.99455,-4.13198,-1.86223, ,0.248776,0.294024,0.609124,0.646788
R,-17.4158,-9.94656,-4.20306,-1.37453,-2.608643,0.248817,0.294102,0.60931,0.650403
L,-17.4158,-9.94656,-4.20306,-1.37453, ,0.249957,0.294196,0.609473,0.654779
R,-17.9425,-9.85897,-4.21077,-0.923583,-2.627026,0.249881,0.294072,0.609583,0.657088
L,-17.9425,-9.85897,-4.21077,-0.923583, ,0.250776,0.293993,0.609653,0.660059
R,-18.3818,-9.88605,-4.33427,-0.863579,-2.644984,0.250826,0.294061,0.60935,0.663371
L,-18.3818,-9.88605,-4.33427,-0.863579, ,0.251955,0.294224,0.609005,0.667421
R,-18.8614,-9.78308,-4.42795,-0.568522,-2.654220,0.252006,0.29418,0.608433,0.670358
L,-18.8614,-9.78308,-4.42795,-0.568522, ,0.253116,0.294259,0.607823,0.673999
R,-19.3894,-9.5923,-4.28775,-0.053048,-2.670192,0.25302,0.29399,0.607424,0.675479
L,-19.3894,-9.5923,-4.28775,-0.053048, ,0.253822,0.29383,0.606964,0.677531
R,-20.0049,-9.15753,-4.46199,0.683367,-2.690597,0.253489,0.29351,0.606199,0.67727
L,-20.0049,-9.15753,-4.46199,0.683367, ,0.253651,0.29312,0.605404,0.677334
R,-20.4173,-9.21812,-4.39818,0.484568,-2.723376,0.253377,0.292719,0.604633,0.678548
L,-20.4173,-9.21812,-4.39818,0.484568, ,0.253711,0.292391,0.603829,0.68029
R,-20.9627,-8.98184,-4.34577,0.847078,-2.727385,0.253359,0.291979,0.603033,0.68099
L,-20.9627,-8.98184,-4.34577,0.847078, ,0.25337,0.291593,0.602209,0.682151
R,-21.4454,-8.8134,-4.20438,1.04252,-2.747534,0.253014,0.291183,0.601451,0.682989
L,-21.4454,-8.8134,-4.20438,1.04252, ,0.252914,0.290824,0.600652,0.684292
R,-21.8972,-8.43299,-3.88137,1.58809,-2.762553,0.252563,0.290559,0.600188,0.684119
L,-21.8972,-8.43299,-3.88137,1.58809, ,0.252412,0.290171,0.599618,0.684258
R,-22.3177,-8.15671,-4.04976,1.73373,-2.786084,0.252063,0.289991,0.59881,0.684298
L,-22.3177,-8.15671,-4.04976,1.73373, ,0.251904,0.289629,0.597983,0.684675
R,-22.6243,-8.14281,-3.76692,1.53816,-2.803726,0.251592,0.289231,0.597297,0.686227
L,-22.6243,-8.14281,-3.76692,1.53816, ,0.251677,0.288955,0.596542,0.688268
R,-22.9748,-8.0441,-3.3619,1.55751,-2.807297,0.251416,0.288751,0.596298,0.690724
L,-22.9748,-8.0441,-3.3619,1.55751, ,0.251617,0.288928,0.595885,0.693711
R,-23.3851,-7.68925,-3.59761,1.81355,-2.815292,0.25132,0.288631,0.595093,0.69586
L,-23.3851,-7.68925,-3.59761,1.81355, ,0.25139,0.288661,0.594283,0.698496
R,-23.8027,-7.29108,-3.53049,2.16486,-2.835350,0.251055,0.288286,0.593475,0.699898
L,-23.8027,-7.29108,-3.53049,2.16486, ,0.250954,0.288139,0.592692,0.701708
R,-24.1903,-6.82786,-3.29676,2.58291,-2.856686,0.250615,0.28777,0.591895,0.702213
L,-24.1903,-6.82786,-3.29676,2.58291, ,0.250409,0.287438,0.591103,0.703029
R,-24.487,-6.70294,-2.92965,2.44629,-2.879814,0.250075,0.287177,0.590412,0.704755
L,-24.487,-6.70294,-2.92965,2.44629, ,0.249902,0.287356,0.589648,0.706861
R,-24.7576,-6.36888,-2.73812,2.60853,-2.886638,0.249583,0.28716,0.588951,0.708579
L,-24.7576,-6.36888,-2.73812,2.60853, ,0.249458,0.287494,0.588185,0.710649
R,-25.0419,-5.87253,-2.63519,2.96676,-2.902256,0.249141,0.287151,0.587421,0.711517
L,-25.0419,-5.87253,-2.63519,2.96676, ,0.248994,0.287164,0.586642,0.71266
R,-25.3323,-5.53554,-2.64622,3.02586,-2.924716,0.248667,0.286898,0.585911,0.71384
L,-25.3323,-5.53554,-2.64622,3.02586, ,0.248452,0.28713,0.585284,0.715287
R,-25.4984,-5.5592,-2.53658,2.56533,-2.939935,0.248173,0.288386,0.584666,0.719418
L,-25.4984,-5.5592,-2.53658,2.56533, ,0.248075,0.290986,0.584218,0.723882
R,-25.764,-5.09624,-2.36471,2.88436,-2.938519,0.247761,0.292032,0.583687,0.7268
L,-25.764,-5.09624,-2.36471,2.88436, ,0.247549,0.294377,0.583363,0.729986
R,-26.0351,-4.72616,-1.83929,3.05947,-2.958746,0.247232,0.295767,0.582607,0.732503
L,-26.0351,-4.72616,-1.83929,3.05947, ,0.246927,0.298598,0.581907,0.735243
R,-26.2206,-4.30269,-1.43405,3.26143,-2.974575,0.24662,0.3001,0.581186,0.737208
L,-26.2206,-4.30269,-1.43405,3.26143, ,0.246304,0.303099,0.580434,0.739349
R,-26.3481,-3.77211,-1.13635,3.56635,-2.991889,0.245993,0.30418,0.579751,0.740366
L,-26.3481,-3.77211,-1.13635,3.56635, ,0.24568,0.306629,0.57901,0.741509
R,-26.4476,-3.43172,-1.00283,3.54919,-3.013230,0.245367,0.308367,0.578273,0.742835
L,-26.4476,-3.43172,-1.00283,3.54919, ,0.245059,0.311699,0.577545,0.744266
R,-26.5796,-2.76419,-0.960441,3.98406,-3.026211,0.244762,0.312406,0.576864,0.744324
L,-26.5796,-2.76419,-0.960441,3.98406, ,0.244452,0.31434,0.576312,0.744441
R,-26.6485,-2.14354,-0.824938,4.29212,-3.053137,0.244158,0.314512,0.575752,0.743921
L,-26.6485,-2.14354,-0.824938,4.29212, ,0.243854,0.315639,0.575388,0.74343
R,-26.6525,-1.87762,-0.328003,4.0556,-3.077548,0.243548,0.316635,0.574664,0.743479
L,-26.6525,-1.87762,-0.328003,4.0556, ,0.243241,0.318979,0.574001,0.743551
R,-26.7155,-1.51709,-0.197535,3.98554,-3.086485,0.242958,0.320575,0.573338,0.743829
L,-26.7155,-1.51709,-0.197535,3.98554, ,0.242676,0.323717,0.572804,0.744111
R,-26.73,-0.868045,0.20213,4.31422,-3.099780,0.242414,0.324467,0.572089,0.743633
L,-26.73,-0.868045,0.20213,4.31422, ,0.242167,0.326444,0.571421,0.743149
R,-26.708,-0.322634,0.481828,4.44771,-3.125247,0.241919,0.326931,0.57071,0.742458
L,-26.708,-0.322634,0.481828,4.44771, ,0.241704,0.328515,0.570031,0.741756
R,-26.6718,0.182154,0.519709,4.52389,3.137011,0.241485,0.328906,0.569414,0.740962
L,-26.6718,0.182154,0.519709,4.52389, ,0.241326,0.330334,0.568943,0.740156
R,-26.5645,1.10558,0.613629,5.1734,3.117760,0.241083,0.329928,0.568515,0.739528
L,-26.5645,1.10558,0.613629,5.1734, ,0.240908,0.329758,0.568308,0.738936
R,-26.4996,1.07708,0.720226,4.40007,3.080434,0.240722,0.330345,0.568131,0.738191
L,-26.4996,1.07708,0.720226,4.40007, ,0.240653,0.332026,0.568237,0.737421
R,-26.3834,1.57583,1.10161,4.44026,3.084250,0.240496,0.332488,0.567801,0.736596
L,-26.3834,1.57583,1.10161,4.44026, ,0.240492,0.333964,0.56757,0.735752
R,-26.2458,2.07994,1.18762,4.51574,3.064864,0.240368,0.334274,0.567399,0.734865
L,-26.2458,2.07994,1.18762,4.51574, ,0.240443,0.3355,0.567495,0.733976
R,-26.0925,2.59848,1.71483,4.51487,3.045002,0.240371,0.335611,0.566887,0.73309
L,-26.0925,2.59848,1.71483,4.51487, ,0.240552,0.336511,0.566396,0.732211
R,-25.9213,3.19232,1.89504,4.67245,3.024467,0.240547,0.336296,0.565827,0.731442
L,-25.9213,3.19232,1.89504,4.67245, ,0.240861,0.336615,0.565388,0.73072
R,-25.7073,3.50794,2.10598,4.41765,3.000320,0.240877,0.336651,0.564824,0.729864
L,-25.7073,3.50794,2.10598,4.41765, ,0.241257,0.337382,0.564385,0.729032
R,-25.4717,3.89186,2.27711,4.30347,2.987904,0.241294,0.337527,0.56386,0.728179
L,-25.4717,3.89186,2.27711,4.30347, ,0.241738,0.3384,0.563469,0.727352
R,-25.1428,4.34462,2.42241,4.32993,2.972020,0.24163,0.338441,0.563011,0.726581
L,-25.1428,4.34462,2.42241,4.32993, ,0.241878,0.33913,0.5627,0.725866
R,-24.822,4.81573,2.71665,4.32602,2.952028,0.241707,0.339017,0.562129,0.725214
L,-24.822,4.81573,2.71665,4.32602, ,0.241866,0.339431,0.561658,0.724644
R,-24.5045,5.20446,3.14512,4.14726,2.930984,0.241674,0.339322,0.561001,0.723942
L,-24.5045,5.20446,3.14512,4.14726, ,0.241813,0.339719,0.560349,0.723314
R,-24.2347,5.36803,3.32422,3.71529,2.913347,0.241699,0.340193,0.559698,0.722468
L,-24.2347,5.36803,3.32422,3.71529, ,0.242017,0.341411,0.559049,0.721634
R,-23.8596,5.94566,3.19339,4.06546,2.905928,0.241841,0.3413,0.558528,0.721185
L,-23.8596,5.94566,3.19339,4.06546, ,0.242057,0.341644,0.558104,0.720856
R,-23.5432,6.36729,3.34929,4.02841,2.878025,0.241938,0.34141,0.557585,0.720592
L,-23.5432,6.36729,3.34929,4.02841, ,0.242295,0.341525,0.557157,0.720475
R,-23.1921,6.50779,3.5138,3.58987,2.857757,0.242204,0.341709,0.556624,0.71979
L,-23.1921,6.50779,3.5138,3.58987, ,0.24264,0.342432,0.55617,0.719188
R,-22.769,6.83498,3.89979,3.42812,2.849552,0.242479,0.342596,0.555532,0.718495
L,-22.769,6.83498,3.89979,3.42812, ,0.242789,0.343261,0.554901,0.717881
R,-22.2752,7.31196,4.46058,3.44507,2.831221,0.242528,0.343056,0.554685,0.717389
L,-22.2752,7.31196,4.46058,3.44507, ,0.242568,0.343157,0.554365,0.717016
R,-21.7513,8.02321,4.47502,4.02634,2.804255,0.242309,0.342878,0.553979,0.718428
L,-21.7513,8.02321,4.47502,4.02634, ,0.242138,0.342495,0.553521,0.720121
R,-21.3935,8.22445,4.45358,3.67703,2.764964,0.241864,0.342145,0.552986,0.720838
L,-21.3935,8.22445,4.45358,3.67703, ,0.241806,0.341761,0.552414,0.721792
R,-20.8664,8.78812,4.54638,3.97691,2.752356,0.241577,0.341929,0.551874,0.724202
L,-20.8664,8.78812,4.54638,3.97691, ,0.241374,0.341811,0.551301,0.726937
R,-20.3164,9.19284,5.07411,3.74847,2.718718,0.241304,0.342487,0.551498,0.728973
L,-20.3164,9.19284,5.07411,3.74847, ,0.241035,0.342767,0.551583,0.731313
R,-19.9118,9.38662,4.8319,3.53694,2.691639,0.240889,0.343302,0.551153,0.733065
L,-19.9118,9.38662,4.8319,3.53694, ,0.24064,0.343493,0.550678,0.735104
R,-19.5589,9.48309,4.61969,3.16367,2.676875,0.240389,0.343658,0.550066,0.736023
L,-19.5589,9.48309,4.61969,3.16367, ,0.240258,0.343583,0.549457,0.73718
R,-18.9719,9.90019,5.09595,3.12873,2.667486,0.240145,0.344464,0.549193,0.73846
L,-18.9719,9.90019,5.09595,3.12873, ,0.239893,0.344985,0.548875,0.739993
R,-18.66,9.84159,4.93224,2.47062,2.636307,0.239631,0.345066,0.548337,0.739838
L,-18.66,9.84159,4.93224,2.47062, ,0.23958,0.344958,0.547781,0.739831
R,-18.2437,9.74143,5.0974,1.74266,2.634663,0.239324,0.344616,0.547346,0.739028
L,-18.2437,9.74143,5.0974,1.74266, ,0.239421,0.34424,0.546882,0.73825
R,-17.6624,9.99673,5.05326,1.95651,2.631763,0.239175,0.343994,0.546356,0.737714
L,-17.6624,9.99673,5.05326,1.95651, ,0.23907,0.343671,0.545815,0.737269
R,-17.1464,10.1752,5.2047,1.83193,2.605551,0.238844,0.343471,0.545392,0.736745
L,-17.1464,10.1752,5.2047,1.83193, ,0.2387,0.343185,0.544946,0.736311
R,-16.6372,10.292,5.25107,1.67428,2.584412,0.238489,0.342963,0.54453,0.735752
L,-16.6372,10.292,5.25107,1.67428, ,0.238328,0.342669,0.544093,0.735275
R,-16.0921,10.4734,5.38142,1.62041,2.565802,0.238173,0.342543,0.543806,0.734808
L,-16.0921,10.4734,5.38142,1.62041, ,0.237962,0.34233,0.543493,0.734431
R,-15.6014,10.5696,5.29827,1.52304,2.541835,0.237795,0.342184,0.543055,0.733995
L,-15.6014,10.5696,5.29827,1.52304, ,0.237596,0.341962,0.542604,0.733647
R,-14.8947,10.7975,5.86881,1.37763,2.523257,0.237871,0.342087,0.543325,0.733169
L,-14.8947,10.7975,5.86881,1.37763, ,0.237654,0.342107,0.544001,0.732768
R,-14.5194,10.6473,5.24945,1.15991,2.489009,0.237601,0.341821,0.543477,0.732163
L,-14.5194,10.6473,5.24945,1.15991, ,0.237357,0.341503,0.542948,0.731614
R,-13.9903,10.7026,5.36658,0.95473,2.485974,0.237345,0.3412,0.542509,0.730923
L,-13.9903,10.7026,5.36658,0.95473, ,0.237096,0.340872,0.542061,0.730272
R,-13.4508,10.8195,5.26698,1.08846,2.465261,0.237147,0.340623,0.54153,0.729821
L,-13.4508,10.8195,5.26698,1.08846, ,0.236897,0.340342,0.540996,0.729435
R,-12.9307,10.8732,5.39798,0.847916,2.439672,0.236965,0.34009,0.540559,0.728813
L,-12.9307,10.8732,5.39798,0.847916, ,0.236717,0.339811,0.540117,0.728235
R,-12.3352,11.0343,5.5023,0.969535,2.417487,0.237005,0.339727
