Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
R,17.3766,4.85995,3.75138,2.26179,0.276694,0.277452,0.145062,0.742354,0.822905
L,17.3766,4.85995,3.75138,2.26179, ,0.275543,0.152071,0.738036,0.831715
R,17.7471,5.0006,3.68274,2.09768,0.279040,0.275143,0.16008,0.733885,0.84567
L,17.7471,5.0006,3.68274,2.09768, ,0.273409,0.175467,0.730391,0.860737
R,18.0435,5.42719,3.41937,2.41866,0.280063,0.272691,0.180226,0.725923,0.86931
L,18.0435,5.42719,3.41937,2.41866, ,0.270945,0.191361,0.721983,0.87896
R,18.3151,5.9602,3.3239,2.9109,0.299094,0.269903,0.192184,0.718089,0.880567
L,18.3151,5.9602,3.3239,2.9109, ,0.268161,0.197497,0.714864,0.883079
R,18.5781,6.43996,3.09512,3.17699,0.323461,0.266945,0.197097,0.710896,0.882686
L,18.5781,6.43996,3.09512,3.17699, ,0.265251,0.200137,0.70754,0.883059
R,18.8623,6.88472,3.09506,3.40108,0.343591,0.264163,0.199394,0.704956,0.881473
L,18.8623,6.88472,3.09506,3.40108, ,0.262544,0.201656,0.703311,0.880535
R,19.0704,7.26335,2.6852,3.35993,0.360389,0.261221,0.201294,0.699544,0.880743
L,19.0704,7.26335,2.6852,3.35993, ,0.259645,0.204464,0.696381,0.881608
R,19.3346,7.62079,2.70382,3.40584,0.374419,0.25855,0.204968,0.694156,0.882509
L,19.3346,7.62079,2.70382,3.40584, ,0.257048,0.209843,0.692934,0.884017
R,19.5293,8.03728,2.60393,3.54019,0.385746,0.255894,0.210607,0.691823,0.884374
L,19.5293,8.03728,2.60393,3.54019, ,0.254433,0.215925,0.691919,0.885255
R,19.7621,8.3703,2.38314,3.42202,0.401043,0.253597,0.218575,0.690857,0.888236
L,19.7621,8.3703,2.38314,3.42202, ,0.252306,0.22684,0.691015,0.891698
R,19.898,8.89493,2.05502,3.62343,0.410829,0.251295,0.228053,0.689116,0.892868
L,19.898,8.89493,2.05502,3.62343, ,0.249985,0.234003,0.688277,0.894429
R,20.0021,9.37486,1.70857,3.70562,0.431535,0.248811,0.234863,0.685668,0.895335
L,20.0021,9.37486,1.70857,3.70562, ,0.247488,0.240163,0.683928,0.896557
R,19.9681,10.2148,1.4473,4.4553,0.450031,0.246252,0.238979,0.68128,0.892238
L,19.9681,10.2148,1.4473,4.4553, ,0.245229,0.238368,0.679464,0.888068
R,20.0401,10.6634,1.09268,4.30497,0.487377,0.24411,0.237156,0.676386,0.88474
L,20.0401,10.6634,1.09268,4.30497, ,0.243186,0.236809,0.673941,0.881564
R,19.9895,11.4017,0.800482,4.7385,0.503289,0.242869,0.237507,0.670806,0.877082
L,19.9895,11.4017,0.800482,4.7385, ,0.242806,0.236374,0.668222,0.872678
R,19.92,11.9185,0.157961,4.51232,0.534309,0.243786,0.237527,0.66514,0.868869
L,19.92,11.9185,0.157961,4.51232, ,0.244935,0.236521,0.661869,0.865136
R,19.9817,12.3156,0.45647,4.60587,0.555339,0.245382,0.23662,0.659596,0.861174
L,19.9817,12.3156,0.45647,4.60587, ,0.245836,0.235469,0.658162,0.857268
R,20.0177,12.6626,0.0822451,4.17167,0.567848,0.245853,0.234584,0.655426,0.855534
L,20.0177,12.6626,0.0822451,4.17167, ,0.245763,0.233812,0.653305,0.85377
R,20.1938,12.854,0.264218,3.78156,0.578579,0.244636,0.233362,0.653577,0.85552
L,20.1938,12.854,0.264218,3.78156, ,0.243497,0.235788,0.655207,0.857066
R,20.1432,13.3085,0.0844411,3.84679,0.579463,0.242395,0.235517,0.656228,0.857709
L,20.1432,13.3085,0.0844411,3.84679, ,0.241281,0.238233,0.65869,0.858127
R,20.1736,13.6212,-0.0826373,3.58552,0.596837,0.240279,0.23971,0.660625,0.861084
L,20.1736,13.6212,-0.0826373,3.58552, ,0.239473,0.245376,0.664086,0.863643
R,20.0571,14.0838,-0.343585,3.65569,0.606186,0.238471,0.246815,0.665836,0.865034
L,20.0571,14.0838,-0.343585,3.65569, ,0.237696,0.252243,0.669048,0.866043
R,20.0629,14.3512,-0.327479,3.47874,0.625108,0.237372,0.256725,0.674089,0.868488
L,20.0629,14.3512,-0.327479,3.47874, ,0.237696,0.266203,0.680856,0.870429
R,19.9427,14.7449,-1.01852,3.07933,0.633084,0.237655,0.271431,0.680682,0.876681
L,19.9427,14.7449,-1.01852,3.07933, ,0.238477,0.281562,0.681615,0.882125
R,19.8553,15.0576,-0.96688,3.11333,0.649033,0.239348,0.289024,0.684388,0.886353
L,19.8553,15.0576,-0.96688,3.11333, ,0.241498,0.301541,0.688584,0.889836
R,19.6261,15.5341,-1.14246,3.36053,0.661078,0.242048,0.307408,0.691963,0.890162
L,19.6261,15.5341,-1.14246,3.36053, ,0.243929,0.317687,0.696758,0.889971
R,19.4549,15.92,-1.4375,3.23061,0.682833,0.245066,0.323733,0.699244,0.890326
L,19.4549,15.92,-1.4375,3.23061, ,0.247863,0.333928,0.703006,0.89012
R,19.1174,16.4698,-2.16801,3.11313,0.699317,0.248046,0.337167,0.701319,0.890296
L,19.1174,16.4698,-2.16801,3.11313, ,0.24967,0.343669,0.700285,0.889891
R,18.8747,16.8819,-1.99261,3.481,0.726071,0.250104,0.346455,0.701507,0.887047
L,18.8747,16.8819,-1.99261,3.481, ,0.25221,0.352173,0.703763,0.883989
R,18.593,17.2861,-2.19381,3.46886,0.745165,0.252728,0.354466,0.705006,0.880795
L,18.593,17.2861,-2.19381,3.46886, ,0.255071,0.359361,0.707226,0.877488
R,18.3635,17.5454,-2.51687,2.99445,0.764832,0.256455,0.362898,0.707365,0.875423
L,18.3635,17.5454,-2.51687,2.99445, ,0.260131,0.36913,0.708307,0.872991
R,18.2028,17.8356,-2.46843,2.88332,0.777975,0.263841,0.373239,0.710591,0.870666
L,18.2028,17.8356,-2.46843,2.88332, ,0.270634,0.37993,0.713806,0.868018
R,17.922,18.0918,-2.70538,2.61789,0.790053,0.27525,0.384835,0.715444,0.866079
L,17.922,18.0918,-2.70538,2.61789, ,0.283245,0.392213,0.717899,0.863739
R,17.4337,18.6184,-3.12291,2.85499,0.804896,0.285736,0.393971,0.717486,0.860612
L,17.4337,18.6184,-3.12291,2.85499, ,0.291145,0.39746,0.717652,0.857465
R,16.8666,19.1437,-3.7033,2.89441,0.834836,0.291541,0.397109,0.715332,0.85443
L,16.8666,19.1437,-3.7033,2.89441, ,0.294085,0.397775,0.713245,0.851599
R,16.6011,19.1753,-3.70016,2.32012,0.866957,0.295797,0.399363,0.711446,0.848762
L,16.6011,19.1753,-3.70016,2.32012, ,0.300313,0.402332,0.709957,0.845801
R,16.2482,19.3885,-3.61558,2.38053,0.874288,0.302665,0.40416,0.70928,0.842832
L,16.2482,19.3885,-3.61558,2.38053, ,0.308101,0.40725,0.709006,0.840003
R,15.493,19.9791,-4.3282,2.64044,0.890324,0.307543,0.406324,0.706541,0.838322
L,15.493,19.9791,-4.3282,2.64044, ,0.30857,0.40591,0.704127,0.837237
R,15.0447,20.1635,-4.48686,2.28957,0.931169,0.307978,0.405058,0.701716,0.83512
L,15.0447,20.1635,-4.48686,2.28957, ,0.308957,0.404667,0.699327,0.833496
R,14.4155,20.4938,-4.90766,2.14201,0.949576,0.307919,0.403375,0.697575,0.831766
L,14.4155,20.4938,-4.90766,2.14201, ,0.307591,0.402275,0.695701,0.830615
R,13.9038,20.6918,-5.07234,1.85641,0.978814,0.306571,0.400951,0.694292,0.828741
L,13.9038,20.6918,-5.07234,1.85641, ,0.306014,0.399731,0.69275,0.827403
R,13.5275,20.7174,-5.06345,1.27403,1.000294,0.305051,0.398599,0.69107,0.824746
L,13.5275,20.7174,-5.06345,1.27403, ,0.305021,0.397635,0.689307,0.822304
R,13.0498,20.854,-5.08755,1.15233,1.012433,0.304067,0.39645,0.68755,0.819886
L,13.0498,20.854,-5.08755,1.15233, ,0.304036,0.39537,0.68574,0.817798
R,12.287,21.1043,-5.56642,1.09616,1.031800,0.303588,0.394128,0.686191,0.815944
L,12.287,21.1043,-5.56642,1.09616, ,0.302623,0.392877,0.686508,0.814591
R,11.8884,21.1154,-5.4346,0.719483,1.065687,0.301867,0.391634,0.685923,0.812385
L,11.8884,21.1154,-5.4346,0.719483, ,0.301028,0.390401,0.685278,0.810553
R,11.4246,21.0746,-5.40006,0.364877,1.079184,0.300229,0.389202,0.684419,0.80817
L,11.4246,21.0746,-5.40006,0.364877, ,0.29946,0.388019,0.683538,0.806053
R,10.8477,21.0329,-5.52362,0.069751,1.094759,0.298976,0.386899,0.683299,0.803643
L,10.8477,21.0329,-5.52362,0.069751, ,0.298072,0.385779,0.68306,0.801446
R,10.0477,21.152,-5.88543,0.218081,1.115726,0.299912,0.384613,0.685499,0.800087
L,10.0477,21.152,-5.88543,0.218081, ,0.299768,0.383472,0.687945,0.799276
R,9.5877,21.1167,-5.77791,-0.114841,1.150659,0.301292,0.382333,0.689513,0.797588
L,9.5877,21.1167,-5.77791,-0.114841, ,0.301005,0.381234,0.691141,0.796353
R,9.09561,21.086,-5.64895,-0.125445,1.167314,0.302564,0.380152,0.691883,0.79561
L,9.09561,21.086,-5.64895,-0.125445, ,0.302314,0.379148,0.692724,0.795486
R,8.80974,20.9578,-5.3254,-0.578215,1.186151,0.302313,0.378047,0.691817,0.793846
L,8.80974,20.9578,-5.3254,-0.578215, ,0.301465,0.377015,0.691011,0.792629
R,8.71097,20.6873,-4.73508,-1.05655,1.193709,0.300646,0.376016,0.689003,0.790442
L,8.71097,20.6873,-4.73508,-1.05655, ,0.300733,0.374946,0.687009,0.788463
R,8.24967,20.5424,-4.79068,-1.33976,1.190089,0.299946,0.373984,0.685057,0.786243
L,8.24967,20.5424,-4.79068,-1.33976, ,0.300096,0.372931,0.683144,0.784174
R,7.90102,20.3687,-4.69348,-1.69222,1.206990,0.299661,0.372022,0.681207,0.781945
L,7.90102,20.3687,-4.69348,-1.69222, ,0.300651,0.370992,0.679302,0.779756
R,7.34608,20.2026,-4.83182,-1.74321,1.218252,0.299933,0.370077,0.677645,0.777625
L,7.34608,20.2026,-4.83182,-1.74321, ,0.300203,0.36905,0.676084,0.775642
R,6.86951,20.0296,-4.84611,-1.82245,1.240676,0.299451,0.368108,0.674673,0.773711
L,6.86951,20.0296,-4.84611,-1.82245, ,0.299562,0.36709,0.673393,0.772005
R,6.45248,19.8513,-4.79548,-1.98319,1.259553,0.298879,0.366113,0.672099,0.770167
L,6.45248,19.8513,-4.79548,-1.98319, ,0.299146,0.365129,0.670955,0.768565
R,5.80533,19.6339,-5.10553,-2.3064,1.275748,0.298398,0.364153,0.671521,0.766548
L,5.80533,19.6339,-5.10553,-2.3064, ,0.297745,0.363211,0.672375,0.76467
R,5.4989,19.3131,-4.79729,-2.5144,1.304401,0.296956,0.362332,0.671793,0.762658
L,5.4989,19.3131,-4.79729,-2.5144, ,0.296717,0.361364,0.671441,0.76076
R,5.23786,19.0594,-4.45682,-2.44833,1.313329,0.296271,0.360472,0.670039,0.759169
L,5.23786,19.0594,-4.45682,-2.44833, ,0.296926,0.359532,0.668784,0.757817
R,4.56855,18.8398,-4.86189,-2.70936,1.321394,0.296181,0.358591,0.669664,0.756046
L,4.56855,18.8398,-4.86189,-2.70936, ,0.295569,0.357758,0.670881,0.754448
R,4.25411,18.5387,-4.5853,-2.70548,1.354390,0.294802,0.35683,0.670766,0.753072
L,4.25411,18.5387,-4.5853,-2.70548, ,0.294446,0.35603,0.670934,0.75194
R,3.69853,18.275,-4.8197,-3.24314,1.365940,0.293877,0.355118,0.672976,0.750002
L,3.69853,18.275,-4.8197,-3.24314, ,0.293138,0.35448,0.675417,0.748106
R,3.5154,17.9352,-4.32744,-3.07895,1.393490,0.292408,0.353578,0.675097,0.746562
L,3.5154,17.9352,-4.32744,-3.07895, ,0.292129,0.352953,0.675048,0.745194
R,2.96411,17.6251,-4.56148,-3.44843,1.397668,0.291557,0.352086,0.676755,0.743338
L,2.96411,17.6251,-4.56148,-3.44843, ,0.290837,0.351607,0.678851,0.741547
R,2.75592,17.2086,-4.16388,-3.79416,1.426668,0.29011,0.350727,0.67881,0.739749
L,2.75592,17.2086,-4.16388,-3.79416, ,0.289669,0.350105,0.679057,0.737924
R,2.39375,16.8612,-4.05857,-3.4804,1.432666,0.288952,0.349243,0.679052,0.736397
L,2.39375,16.8612,-4.05857,-3.4804, ,0.288449,0.348719,0.679335,0.735005
R,1.86499,16.4781,-4.25155,-3.51762,1.450991,0.288107,0.347869,0.681157,0.733665
L,1.86499,16.4781,-4.25155,-3.51762, ,0.287421,0.347373,0.68336,0.732473
R,1.5356,16.1272,-4.09277,-3.57871,1.481748,0.287115,0.346564,0.684813,0.731262
L,1.5356,16.1272,-4.09277,-3.57871, ,0.28645,0.346244,0.686624,0.730202
R,1.30564,15.6947,-3.77514,-4.06902,1.499492,0.285915,0.345423,0.686832,0.728446
L,1.30564,15.6947,-3.77514,-4.06902, ,0.285232,0.345024,0.687325,0.726715
R,0.896613,15.3117,-3.83521,-4.04764,1.510160,0.285056,0.344239,0.688474,0.725038
L,0.896613,15.3117,-3.83521,-4.04764, ,0.284463,0.343974,0.689949,0.723414
R,0.672133,14.9421,-3.56632,-3.92423,1.536390,0.284065,0.34327,0.690162,0.722074
L,0.672133,14.9421,-3.56632,-3.92423, ,0.283411,0.343251,0.690642,0.720833
R,0.466176,14.481,-3.27325,-4.34606,1.549115,0.282847,0.342508,0.690028,0.719148
L,0.466176,14.481,-3.27325,-4.34606, ,0.282194,0.342369,0.689612,0.717475
R,0.0953813,13.9989,-3.32967,-4.76075,1.560911,0.281911,0.341592,0.68966,0.716219
L,0.0953813,13.9989,-3.32967,-4.76075, ,0.281316,0.341296,0.689942,0.7149
R,-0.12846,13.5196,-3.11765,-4.90664,1.588364,0.280929,0.340513,0.689493,0.71387
L,-0.12846,13.5196,-3.11765,-4.90664, ,0.28031,0.340113,0.689234,0.712766
R,-0.392052,13.0622,-3.04925,-4.67723,1.604572,0.279975,0.339339,0.688884,0.711214
L,-0.392052,13.0622,-3.04925,-4.67723, ,0.279383,0.338932,0.688721,0.709649
R,-0.70407,12.5823,-3.07123,-4.58753,1.626080,0.279321,0.338171,0.688852,0.708049
L,-0.70407,12.5823,-3.07123,-4.58753, ,0.278872,0.337707,0.689183,0.706461
