R, 13.4717, 2.42145, 4.61151, 1.7769, 0.173935, 0.0935251, 0.109449, 1.05264, 0.695022
L, 13.7205, 2.54837, 4.63803, 1.87673,  , 0.092702, 0.109316, 1.04278, 0.690211
R, 13.9416, 2.6467, 4.58113, 1.88359, 0.187157, 0.0918833, 0.109475, 1.03317, 0.686264
L, 14.1694, 2.81494, 4.5643, 2.08247,  , 0.0911093, 0.108849, 1.02388, 0.681227
R, 14.423, 2.92158, 4.73886, 2.11207, 0.200035, 0.0906284, 0.108421, 1.01577, 0.676725
L, 14.6314, 2.99059, 4.69396, 2.01926,  , 0.0900587, 0.108996, 1.0079, 0.674248
R, 14.8655, 3.13917, 4.73838, 2.16036, 0.205037, 0.0897064, 0.109151, 1.00091, 0.671031
L, 15.0776, 3.34855, 4.6712, 2.43489,  , 0.0893498, 0.108352, 0.993994, 0.666129
R, 15.2903, 3.4953, 4.46156, 2.46692, 0.222885, 0.0890291, 0.107517, 0.986333, 0.661656
L, 15.5049, 3.69765, 4.42786, 2.67816,  , 0.0888063, 0.10671, 0.97898, 0.656529
R, 15.7189, 3.80916, 4.36549, 2.60561, 0.238985, 0.0887205, 0.105846, 0.971793, 0.652383
L, 15.9409, 3.96052, 4.36739, 2.66055,  , 0.0889737, 0.105004, 0.965126, 0.6485
R, 16.1413, 4.09001, 4.15297, 2.60678, 0.248105, 0.0892461, 0.104206, 0.957918, 0.645935
L, 16.3334, 4.30595, 4.10266, 2.83538,  , 0.0894486, 0.103534, 0.950932, 0.642039
R, 16.549, 4.4497, 4.12795, 2.84016, 0.262714, 0.0900895, 0.102802, 0.944513, 0.63879
L, 16.7239, 4.63127, 4.05859, 2.95054,  , 0.0904351, 0.102189, 0.938246, 0.635316
R, 16.8852, 4.77533, 3.68425, 2.86305, 0.275160, 0.0903836, 0.101477, 0.931323, 0.633466
L, 17.0383, 5.03284, 3.59492, 3.16884,  , 0.0900006, 0.101639, 0.92455, 0.629638
R, 17.2166, 5.16762, 3.55428, 3.0924, 0.292835, 0.0896307, 0.101292, 0.917933, 0.627021
L, 17.368, 5.37136, 3.49074, 3.22618,  , 0.0891007, 0.10128, 0.911466, 0.623927
R, 17.5342, 5.49819, 3.40002, 3.10924, 0.305511, 0.0885614, 0.100726, 0.905127, 0.622723
L, 17.721, 5.63739, 3.43654, 3.06318,  , 0.0881716, 0.100034, 0.899101, 0.623026
R, 17.8763, 5.79302, 3.2741, 3.03, 0.312988, 0.0877415, 0.0994138, 0.893057, 0.624826
L, 18.0402, 6.02235, 3.25112, 3.23162,  , 0.0873693, 0.0987551, 0.887245, 0.624613
R, 18.1993, 6.2038, 3.22177, 3.27875, 0.327492, 0.0870567, 0.0981037, 0.881706, 0.624629
L, 18.3123, 6.48712, 3.09375, 3.59856,  , 0.0865311, 0.0979313, 0.876175, 0.621983
R, 18.4527, 6.67218, 2.97101, 3.5805, 0.346462, 0.0860043, 0.0976133, 0.870685, 0.620065
L, 18.597, 6.82205, 2.97232, 3.5067,  , 0.0855046, 0.0970095, 0.865567, 0.619598
R, 18.7541, 7.0081, 3.0187, 3.54534, 0.357263, 0.0851354, 0.0964025, 0.861191, 0.619373
L, 18.9508, 7.16595, 3.11286, 3.48382,  , 0.0855654, 0.0960021, 0.858231, 0.620703
R, 19.0517, 7.32431, 2.78808, 3.36875, 0.366787, 0.0856377, 0.0961646, 0.853859, 0.624663
L, 19.1267, 7.64476, 2.61353, 3.77401,  , 0.0852758, 0.0955839, 0.849252, 0.623667
R, 19.256, 7.82717, 2.59334, 3.74981, 0.386336, 0.0850368, 0.0950981, 0.845115, 0.623511
L, 19.3266, 8.07721, 2.45746, 3.92479,  , 0.0845747, 0.0945393, 0.840914, 0.622048
R, 19.4313, 8.26782, 2.42319, 3.91533, 0.402193, 0.084125, 0.0940734, 0.837173, 0.621147
L, 19.5252, 8.42481, 2.38419, 3.82498,  , 0.0836704, 0.0941945, 0.83394, 0.62177
R, 19.6283, 8.59919, 2.2416, 3.73347, 0.413334, 0.0832621, 0.0951182, 0.830573, 0.624171
L, 19.784, 8.80018, 2.32141, 3.75705,  , 0.0834758, 0.0965471, 0.828701, 0.626732
R, 19.8703, 8.98881, 2.10995, 3.69708, 0.424233, 0.0837558, 0.0988733, 0.826096, 0.630705
L, 19.9867, 9.25945, 2.09964, 3.90958,  , 0.0847055, 0.100226, 0.824388, 0.631997
R, 20.0468, 9.44354, 1.81269, 3.7961, 0.439844, 0.0854563, 0.102632, 0.821444, 0.63527
L, 20.116, 9.72942, 1.73407, 4.04299,  , 0.0862829, 0.103834, 0.81882, 0.6356
R, 20.1788, 9.97366, 1.68203, 4.16329, 0.456903, 0.0871789, 0.10485, 0.816741, 0.634943
L, 20.2153, 10.2923, 1.54494, 4.45276,  , 0.0877953, 0.104742, 0.814583, 0.632362
R, 20.2423, 10.4975, 1.23881, 4.31152, 0.478074, 0.088124, 0.105, 0.811322, 0.630847
L, 20.2892, 10.8105, 1.16947, 4.55694,  , 0.0885514, 0.104598, 0.808405, 0.628046
R, 20.3167, 11.0629, 1.0362, 4.59459, 0.497059, 0.088893, 0.104147, 0.805488, 0.625203
L, 20.3517, 11.3171, 0.992013, 4.66018,  , 0.0893382, 0.103657, 0.803107, 0.62224
R, 20.3157, 11.524, 0.482818, 4.42145, 0.515157, 0.0891586, 0.103324, 0.799197, 0.620439
L, 20.3799, 11.784, 0.547429, 4.50323,  , 0.0895041, 0.102902, 0.795896, 0.618217
R, 20.402, 12.0137, 0.624311, 4.571, 0.531903, 0.0900378, 0.102543, 0.793727, 0.61572
L, 20.3823, 12.3395, 0.478592, 4.82405,  , 0.090279, 0.102084, 0.791477, 0.612724
R, 20.3498, 12.5387, 0.0702286, 4.54224, 0.552473, 0.0902255, 0.1016, 0.78799, 0.610399
L, 20.3727, 12.7924, 0.0983808, 4.59976,  , 0.0905395, 0.101116, 0.785141, 0.607852
R, 20.3738, 12.9917, -0.0236085, 4.44145, 0.568642, 0.091096, 0.100721, 0.782364, 0.606004
L, 20.3361, 13.2185, -0.101235, 4.46544,  , 0.0914564, 0.100391, 0.779882, 0.603977
R, 20.3049, 13.4311, -0.222161, 4.40031, 0.584172, 0.0917999, 0.100234, 0.777475, 0.60223
L, 20.2744, 13.7255, -0.295944, 4.58466,  , 0.0922162, 0.0998031, 0.77541, 0.599667
R, 20.2336, 13.9202, -0.522724, 4.37683, 0.603168, 0.0926538, 0.099557, 0.772844, 0.597851
L, 20.1644, 14.2126, -0.64647, 4.56644,  , 0.092849, 0.0991127, 0.770331, 0.595277
R, 20.0995, 14.4195, -0.825028, 4.43828, 0.622251, 0.0929483, 0.0987338, 0.767622, 0.592995
L, 19.9753, 14.7151, -1.03407, 4.64124,  , 0.0926177, 0.0983252, 0.764649, 0.590367
R, 19.9121, 14.9131, -1.11073, 4.51119, 0.643646, 0.0923138, 0.0978952, 0.761881, 0.587817
L, 19.8898, 15.1404, -1.04088, 4.50354,  , 0.0923743, 0.0974717, 0.76008, 0.58527
R, 19.7869, 15.3071, -1.56158, 4.03273, 0.659037, 0.0922528, 0.0972549, 0.756875, 0.584371
L, 19.7554, 15.4988, -1.45735, 3.99284,  , 0.0926711, 0.0972796, 0.754302, 0.583426
R, 19.6769, 15.6753, -1.51809, 3.89139, 0.673264, 0.0932661, 0.0977818, 0.752017, 0.582847
L, 19.5519, 15.9276, -1.6509, 4.04278,  , 0.0935357, 0.0979049, 0.749705, 0.581062
R, 19.4541, 16.1189, -1.70255, 4.0032, 0.691859, 0.0938799, 0.0982835, 0.747738, 0.579222
L, 19.3403, 16.3204, -1.76513, 4.0167,  , 0.0941847, 0.0987901, 0.746088, 0.577141
R, 19.2342, 16.4925, -1.94929, 3.81589, 0.709211, 0.0946037, 0.0998018, 0.744098, 0.575629
L, 19.0825, 16.7456, -2.0972, 3.97799,  , 0.0947092, 0.100177, 0.741975, 0.573382
R, 18.9411, 16.9146, -2.49392, 3.61829, 0.728859, 0.0946989, 0.100968, 0.739059, 0.57223
L, 18.7273, 17.2041, -2.742, 3.89703,  , 0.0943266, 0.100834, 0.736098, 0.569957
R, 18.607, 17.4091, -2.5967, 4.02298, 0.752310, 0.0939943, 0.100644, 0.733473, 0.567844
L, 18.3807, 17.6389, -2.82449, 4.12262,  , 0.0937295, 0.100295, 0.73065, 0.566348
R, 18.2306, 17.8257, -2.88367, 4.03279, 0.774468, 0.0934706, 0.0999534, 0.727925, 0.564836
L, 18.1187, 18.0178, -2.80667, 3.99981,  , 0.0931103, 0.0995946, 0.725703, 0.563588
R, 17.9495, 18.1546, -3.09414, 3.60283, 0.792012, 0.0927644, 0.0994007, 0.723023, 0.561442
L, 17.8395, 18.2895, -2.9714, 3.48679,  , 0.0924656, 0.0994852, 0.720972, 0.559303
R, 17.713, 18.4525, -3.0034, 3.35798, 0.806774, 0.092375, 0.0996311, 0.719206, 0.557181
L, 17.5009, 18.6647, -3.16491, 3.47785,  , 0.0920974, 0.0994445, 0.717173, 0.555389
R, 17.3278, 18.7884, -3.34199, 3.18342, 0.826720, 0.0918418, 0.0995089, 0.714874, 0.553314
L, 17.1726, 18.9293, -3.30586, 3.13907,  , 0.0917244, 0.0997014, 0.713024, 0.551294
R, 17.0033, 19.0909, -3.40074, 3.05453, 0.842932, 0.0917266, 0.0997981, 0.711151, 0.549314
L, 16.7784, 19.224, -3.51651, 3.03143,  , 0.0915267, 0.100003, 0.709168, 0.547491
R, 16.5839, 19.3716, -3.69683, 2.86265, 0.862319, 0.0913316, 0.100143, 0.706898, 0.545574
L, 16.3367, 19.561, -3.86279, 2.98451,  , 0.0910068, 0.0999284, 0.70447, 0.544338
R, 16.1181, 19.6309, -4.04662, 2.61524, 0.884549, 0.0906825, 0.100118, 0.701957, 0.542424
L, 15.9056, 19.7884, -4.08321, 2.67592,  , 0.090366, 0.100053, 0.699491, 0.540883
R, 15.7096, 19.9051, -4.05179, 2.64074, 0.903330, 0.0900473, 0.100003, 0.697169, 0.539641
L, 15.4669, 20.0824, -4.16766, 2.75065,  , 0.0897641, 0.0996819, 0.694796, 0.539661
R, 15.2356, 20.2271, -4.32841, 2.63299, 0.924342, 0.0895281, 0.0993377, 0.692381, 0.53966
L, 15.068, 20.3574, -4.21264, 2.61351,  , 0.0892205, 0.0990425, 0.690166, 0.540383
R, 14.8319, 20.434, -4.39411, 2.29849, 0.943376, 0.088917, 0.0987137, 0.687816, 0.539746
L, 14.6229, 20.5572, -4.37261, 2.31217,  , 0.0886158, 0.0984669, 0.685559, 0.539954
R, 14.3759, 20.6431, -4.57577, 2.03817, 0.962240, 0.0883233, 0.0982293, 0.683242, 0.539203
L, 14.1331, 20.7195, -4.59716, 1.98985,  , 0.0880562, 0.0979879, 0.680945, 0.538862
R, 13.8879, 20.7883, -4.74527, 1.73603, 0.981999, 0.0878307, 0.0977377, 0.67873, 0.537832
L, 13.6069, 20.8603, -4.84366, 1.71965,  , 0.0878507, 0.0975103, 0.676621, 0.537335
